ERA,HR9,BB9,SO9
4.84,1.1,3.4,7.7
3.89,1.3,2.4,5.4
7.79,0.5,6.2,10.9
4.57,1.4,3.6,6.9
2.81,0.7,3.2,11.9
4.06,1.2,2.9,8.7
2.27,0.2,3.6,11.1
1.74,0.7,2.6,7.7
3.83,1.6,4,8.3
5.05,1.2,3.1,8.5
3.86,1,3,7
7.24,1.3,5.3,11.2
6.85,2.3,1.9,7.6
4.08,1.3,2.8,10.7
5.4,1.1,3.5,7.8
4.87,1.3,4,7
1.93,0,1.9,10.6
2.5,0.5,5,11.5
5.4,1.2,1.2,7.2
3.32,1.3,4,8.2
3.06,0.6,3.9,10.6
4.32,1.2,2.9,8.3
2.9,0.2,2.5,8.9
2.86,1,2.6,10.6
6.05,1.6,5.4,13.3
4.73,1.9,2.7,10.6
2.25,0.5,3.6,9.5
6.34,1.3,4.6,8.4
3.9,2,6.2,12.4
1.13,0,5.6,6.8
3.73,1,2.6,9.5
4.82,1,3.2,11.9
3.09,0.2,2.3,7.2
3.22,0.9,3.5,9.3
7.2,0.9,2.7,11.7
2.55,1.1,2.3,9.9
3.92,1.9,2.7,9.4
3.15,1.1,3.6,13.5
5.79,0.5,1.9,4.8
3.29,0.9,3.3,10
3.23,1,0.8,7.7
7.04,2.8,3.4,6.9
0,0,0,3.9
4.29,1.9,5.6,9.9
4.8,1.8,2.6,8.4
8.45,1.9,6.6,7.3
7.84,0,4.4,7
6.29,2.6,5.2,10.4
5.49,2.1,3.7,8.9
11.57,2.1,7.7,10.9
4.08,0.7,5.9,11.6
3.86,1.3,4.8,8
2.52,0.2,4.1,9.2
3.07,0.9,5.2,9.5
3.1,0.9,3.1,10.2
6.17,2.3,6.2,8.5
3.29,0.9,3.1,11.6
4.5,1.9,2.9,10
5.56,1.6,2,9.1
5.03,1.8,0.9,9.6
3.88,1.8,2.5,8.8
4,0.8,3.5,6.5
5.4,1.9,3,7.3
4.22,1.1,2.6,11.2
4.5,1.6,5,11.3
3.49,1,2.3,6.8
4.88,0.7,3.6,8.5
4.63,1.2,3.9,9.3
8.49,1.5,5.4,8.5
3.72,1.1,1.9,8.5
3.34,1,2.4,10.4
6.05,1.8,2.7,6.4
