Name,Win,Loss,Game,IP,K/9,BB/9,HR/9,ERA,FIP,WAR
Logan Allen,23,24,73,375,7.58,3.58,1.34,4.44,4.72,2.6
Jos? Suarez,20,21,84,311.2,8.32,3.61,1.24,4.59,4.43,2.6
Brad Keller,21,36,154,427.2,7.51,4.25,1.07,4.69,4.59,2.6
Keegan Akin,14,20,221,340.1,9.04,3.09,1.27,4.5,4.06,2.5
Javier Assad,17,12,77,325.2,7.32,3.73,1.11,3.48,4.51,2.4
Chris Stratton,23,9,264,304.2,8.66,3.72,0.89,4.49,3.85,2.3
Carlos Carrasco,24,32,93,445,7.91,2.97,1.54,5.5,4.75,2.3
Ryan Yarbrough,28,25,138,487.1,6.74,2.11,1.37,4.41,4.61,2.3
Jordan Hicks,12,29,173,314,8.83,4.47,0.77,4.73,4.08,2.2
Michael Kopech,20,32,180,396.2,10.03,4.97,1.41,4.11,4.79,2.2
Drew Smyly,33,31,142,434,8.4,3.07,1.64,4.31,4.82,2.2
Jake Irvin,22,34,89,482.2,6.96,3.11,1.58,4.92,5.07,2.2
Kyle Finnegan,25,30,320,320.1,8.82,3.43,1.18,3.6,4.1,2.1
Jordan Lyles,28,41,100,541.2,6.86,2.58,1.71,5.23,5.1,1.9
Brent Suter,23,13,267,342.2,7.35,2.65,1.1,3.57,4.12,1.9
James Kaprielian,15,20,64,314.1,7.96,3.75,1.26,4.58,4.61,1.9
Luis L. Ortiz,16,22,75,327,7.68,3.91,1.16,4.05,4.56,1.8
Zach Plesac,15,20,58,307.2,6.41,2.46,1.43,4.86,4.73,1.8
Dakota Hudson,17,22,65,318.2,5.03,4.12,0.82,5,4.8,1.6
Tyler Alexander,19,35,166,453.2,7.16,2.22,1.47,4.68,4.52,1.6
Daniel Lynch IV,18,25,123,360.2,7.29,3.47,1.32,4.59,4.77,1.5
Madison Bumgarner,14,28,60,321.2,6.88,2.88,1.48,5.06,4.91,1.3
Marco Gonzales,25,23,74,410,5.88,2.66,1.51,4.24,5.01,1.2
Jorge L?pez,21,26,239,329.1,8.2,3.69,1.2,4.81,4.59,1.2
Zach Davies,10,22,77,364.2,7.11,4.1,1.38,5.43,5.02,1.2
Josiah Gray,17,27,74,386.2,8.89,4.28,1.89,4.84,5.51,0.8
Jos? Ure?a,12,32,108,404.1,5.83,3.76,1.29,4.99,5.08,0.5
Chad Kuhl,11,24,102,309,7.86,4.46,1.49,5.71,5.26,0
Bryse Wilson,17,22,148,418.1,6.37,2.71,1.61,4.71,5.11,-0.5
