pid,hid,housenum,p20ans,p21ans,p21area,p21area_siz,p21hhldsiz,p21gender,p21age1,p21school,p21mar,p21income1,p21job1,p21job2,p21relig1,ott_yes,ott_freq,ott_score,sns_yes,sns_freq_1,sns_freq_2,sns_freq_3,sns_freq_4,sns_score_1,sns_score_1,sns_score_1,sns_score_1,sns_score_all,p21d25040,p21d25041,p21d25042,p21d25043,p21d25044,p21d25045,p21d25046,p21d25047,p21d25048,p21d25049,p21d25050,p21d25051,p21d25052,p21d25053,p21d25054,p21d25055,p21d25056,p21d25057,p21d25058,p21d25059,p21d25060,pc_ability,p21d25061,p21d25062,p21d25063,p21d25064,p21d25065,p21d25066,p21d25067,p21d25068,p21d25070,p21d25071,p21d25072,p21d25073,p21d25074,p21d25075,p21d25076,p21d25077,p21d25078,p21d25079,p21d25080,p21d25081,p21d25082,p21d25083,p21d25084,p21d25085,p21d25086,smart_ability,p21h01001,p21h01002,p21h01003,p21h01004,p21h01005,p21h01006,p21h01007,p21h01008,p21h01009,p21h01010,esteem
10001,100,1,1,1,1,1,3,1,54,5,2,10,1,1,1,1,2,8,1,6,7,6,6,4,3,4,4,3.75,3,4,2,2,3,2,2,3,1,1,1,1,4,4,4,4,3,3,4,3,3,2.714285714,5,5,5,4,4,4,4,4,5,4,4,5,4,4,5,4,4,3,4,4,3,3,3,3,3,4,3,4,2,1,3,4,4,2,1,1,32
10002,100,2,1,1,1,1,3,2,49,5,2,1,2, ,1,1,1,9,1,4,4,4,4,6,6,6,6,6,4,3,3,4,4,3,4,5,4,3,3,3,4,4,4,4,4,3,4,4,4,3.714285714,5,5,4,4,4,5,5,5,4,4,3,3,4,4,5,5,5,5,4,4,4,3,3,2,2,4.04,3,2,1,2,1,3,2,4,2,2,27
10003,100,3,1,1,1,1,3,2,25,5,1,6,1,1,1,1,3,7,1,1,4,7,1,9,6,3,9,6.75,4,4,5,5,4,4,5,4,4,5,4,3,5,5,5,5,4,4,4,4,3,4.285714286,5,5,5,5,5,5,5,5,5,5,4,4,3,3,5,5,5,5,4,4,4,5,4,3,4,4.48,3,3,1,4,3,4,3,4,2,2,30
10004,100,4,1,1,1,1,3,1,21,5,1,1,2, ,1,1,1,9,1,1,3,4,3,9,7,6,7,7.25,5,5,5,5,5,5,5,4,3,3,3,3,5,5,5,5,5,5,5,4,4,4.476190476,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,3,4,4,4,4.52,3,3,1,3,2,3,2,4,2,1,29
20001,200,1,1,1,1,1,3,1,56,5,2,9,1,1,1,1,1,9,1,4,5,5,4,6,5,5,6,5.5,3,4,3,3,4,4,3,3,4,4,2,2,5,4,4,4,3,4,3,3,3,3.428571429,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,3,3,4,2,2,2,4,3,3,3.4,3,4,1,3,2,4,4,4,2,2,32
20002,200,2,1,1,1,1,3,2,55,2,2,4,1,1,1,1,1,9,1,4,6,6,6,6,4,4,4,4.5,3,4,3,3,2,3,3,2,2,4,3,3,5,5,4,3,3,3,2,3,3,3.142857143,4,4,3,3,3,4,4,3,3,2,3,2,3,2,4,4,4,3,5,3,3,3,3,3,3,3.24,3,3,1,3,2,4,3,4,2,1,31
20003,200,3,1,1,1,1,3,1,28,6,1,8,1,1,1,1,1,9,1,3,4,3,3,7,6,7,7,6.75,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4.92,3,3,1,2,1,3,3,4,2,2,29
30001,300,1,1,1,8,1,3,1,50,5,2,10,1,1,2,1,1,9,1,2,9,9,2,8,1,1,8,4.5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,4.619047619,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4.68,2,2,1,2,2,3,2,2,1,1,29
30002,300,2,1,1,8,1,3,2,47,4,2,1,2, ,1,1,1,9,1,4,9,9,8,6,1,1,2,2.5,4,5,5,5,5,5,3,1,5,5,3,3,5,5,5,5,4,4,4,1,3,4.047619048,5,5,5,5,3,5,5,5,5,3,5,5,3,3,5,5,5,5,4,5,4,4,3,3,3,4.32,3,2,1,2,2,3,2,3,1,1,29
30003,300,3,1,1,8,1,3,1,19,5,1,1,2, ,1,1,1,9,1,4,8,9,8,6,2,1,2,2.75,4,5,5,5,5,5,4,3,1,3,3,3,5,5,5,5,4,5,5,1,4,4.047619048,5,5,5,5,5,5,5,5,5,4,1,3,3,3,5,5,5,5,4,5,4,5,4,4,4,4.36,3,3,1,4,2,3,3,2,1,1,34
