pid,hid,housenum,p20ans,p21ans,gender,year,age,school,school1,school2,mar,income1,med_income,income,job_yes,job2,job,job3,relig,ott_yes,ott_main,ott_freq,ott_weekday_min,ott_weekend_min,ott_min,sns_yes,sns_main,sns_weekday_min,sns_weekend_min,sns_min,sns_purpose,e_com_yes,e_com_freq,satis_1,satis_2,satis_3,satis,mental_1,mental_2,mental_3,mental_4,mental_5,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,neg_9,neg_10,esteem_1,esteem_2,esteem_3,esteem_4,esteem_5,esteem_6,esteem_7,esteem_8,esteem_9,esteem_10,esteem
40003,400,3,1,1,1,2006,15,3,2,1,1,1,0,1,2, ,0, ,1,1,10,1,120,180,300,1,2,30,30,60,2,2, ,6,6,6,6,4,4,4,4,4,3,3,3,5,4,2,4,2,2,2,1,2,1,1,2,3,1,2,2,1,3,2,2,2,3,2,2,21
40004,400,4,1,1,2,2007,14,3,2,1,1,1,0,1,2, ,0, ,1,1,10,1,120,180,300,1,15,30,30,60,1,2, ,6,6,6,6,6,5,6,6,6,6,5,6,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,18
50001,500,1,1,1,1,1972,49,5,4,5,2,11,475,7,1,1,1,31,1,1,10,1,60,120,180,2, , , ,0, ,1,4,6,6,5,5.67,5,5,5,4,2,5,5,4,4,4,3,4,2,2,2,2,2,2,3,2,3,2,3,3,2,3,2,3,3,2,1,1,27
50002,500,2,1,1,2,1977,44,5,4,5,2,1,0,1,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,1,36,5,5,5,5,4,5,5,4,3,7,7,7,5,3,5,5,2,2,2,1,1,1,2,1,3,2,4,3,1,2,2,3,3,2,1,1,28
50003,500,3,1,1,2,2006,15,3,2,1,1,1,0,1,2, ,0, ,2,1,10,5,30,90,120,2, , , ,0, ,2, ,6,6,6,6,5,6,5,4,5,6,6,5,2,2,2,2,2,1,1,1,1,1,2,1,2,1,3,2,1,3,1,4,3,2,1,1,29
50004,500,4,1,1,2,2007,14,3,2,1,1,1,0,1,2, ,0, ,2,1,10,5,30,60,90,2, , , ,0, ,2, ,7,7,7,7,6,6,7,6,7,6,6,6,3,2,2,2,1,1,1,1,1,1,1,1,2,2,4,4,1,4,1,4,4,4,1,1,32
60001,600,1,1,1,1,1969,52,5,4,5,2,11,475,7,1,1,1,14,2,1,10,1,60,120,180,1,12,5,10,15,1,1,1,6,5,4,5,3,3,4,3,2,6,5,4,4,4,3,4,2,1,1,1,2,2,2,1,2,1,3,2,2,2,2,2,2,2,1,2,22
60002,600,2,1,1,2,1973,48,4,3,5,2,7,275,5,1,1,1,93,2,1,10,6,20,0,20,2, , , ,0, ,1,48,6,5,5,5.33,1,6,6,6,6,6,6,4,2,2,2,2,3,3,2,2,2,2,1,1,1,1,4,3,1,4,2,3,3,2,1,1,30
60003,600,3,1,1,2,2001,20,5,4,2,1,1,0,1,2, ,0, ,2,1,10,1,120,240,360,1,1,120,120,240,2,1,2,5,6,5,5.33,1,5,5,3,5,4,4,4,3,4,5,4,3,3,2,1,3,2,3,4,3,4,2,1,3,2,3,1,2,4,2,2,14
60004,600,4,1,1,2,2006,15,3,2,1,1,1,0,1,2, ,0, ,2,1,10,1,120,150,270,1,15,20,30,50,2,1,8,4,7,7,6,1,7,4,3,1,4,4,4,3,4,4,2,1,3,2,1,1,1,1,3,3,1,2,1,2,3,3,2,2,2,2,1,20
80001,800,1,1,1,1,1950,71,4,3,5,3,1,0,1,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,6,6,6,6,6,6,6,5,4,6,6,6,4,4,4,4,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,3,2,2,2,24
100001,1000,1,1,1,1,1979,42,5,4,5,2,8,325,6,1,1,1,25,1,1,10,1,120,120,240,1,15,120,120,240,1,1,24,7,7,7,7,4,5,6,3,3,5,6,4,5,4,6,4,3,1,2,2,2,2,2,1,3,1,2,2,1,2,2,2,2,4,2,2,19
100002,1000,2,1,1,2,1979,42,6,5,5,2,11,475,7,1,1,1,25,1,2, , , , ,0,2, , , ,0, ,1,60,7,7,7,7,5,7,7,3,4,7,7,7,4,3,3,4,2,1,1,1,2,2,2,1,2,2,3,3,1,4,2,4,4,3,2,2,28
130001,1300,1,1,1,1,1947,74,3,2,5,2,1,0,1,2, ,0, ,2,1,10,5,10,10,20,2, , , ,0, ,1, ,3,3,2,2.67,4,2,5,4,3,3,3,2,4,3,4,3,3,3,4,2,2,3,2,3,4,2,3,3,2,3,3,2,3,2,3,3,21
130002,1300,2,1,1,2,1950,71,3,2,5,2,4,125,4,1,1,1,44,2,1,9,3,10,10,20,2, , , ,0, ,1, ,2,4,3,3,2,2,4,3,3,2,3,3,3,5,2,3,2,2,3,2,2,3,4,2,3,2,2,3,3,4,2,2,3,2,1,2,24
140001,1400,1,1,1,2,1962,59,4,3,5,3,6,225,5,1,1,1,52,2,1,10,2,30,30,60,1,12,30,30,60,2,1, ,5,6,5,5.33,5,4,4,3,4,5,5,5,2,2,2,2,3,3,4,3,4,3,3,2,3,3,3,2,2,3,4,3,3,2,2,2,22
160001,1600,1,1,1,1,1951,70,3,2,5,2,4,125,4,1,3,3,52,1,1,10,2,15,15,30,2, , , ,0, ,2, ,5,4,5,4.67,5,5,4,6,5,4,5,4,4,3,5,4,3,2,3,3,2,3,4,3,2,3,3,3,2,3,3,4,3,2,3,3,23
160002,1600,2,1,1,2,1952,69,3,2,5,2,1,0,1,2, ,0, ,1,1,10,1,20,20,40,2, , , ,0, ,2, ,5,4,4,4.33,5,4,5,5,5,5,6,5,4,5,4,5,3,3,3,2,3,3,2,3,3,2,3,2,3,3,3,2,3,3,4,3,17
180001,1800,1,1,1,2,1967,54,4,3,5,4,5,175,4,1,1,1,44,1,1,10,1,60,120,180,2, , , ,0, ,1,6,3,4,3,3.33,2,3,5,4,3,3,4,4,6,2,5,5,3,3,3,2,1,3,2,3,4,3,3,3,2,3,3,2,4,3,2,3,22
220001,2200,1,1,1,1,1952,69,4,3,5,2,6,225,5,1,1,1,94,2,2, , , , ,0,1,12,5,10,15,1,1,4,5,4,4,4.33,5,4,4,5,4,6,6,5,3,2,1,3,3,3,2,2,3,3,3,2,2,2,3,3,2,2,2,3,3,2,2,2,24
220002,2200,2,1,1,2,1954,67,4,3,5,2,2,25,2,2, ,0, ,2,1,10,1,20,20,40,1,16,10,0,10,1,1,6,6,5,6,5.67,5,6,5,4,4,6,5,5,2,1,2,2,3,3,4,3,4,4,3,3,3,3,3,3,4,3,4,3,2,3,2,2,19
230001,2300,1,1,1,1,1961,60,5,4,5,2,11,475,7,1,3,3,75,2,1,10,5,60,30,90,2, , , ,0, ,2, ,6,5,6,5.67,6,6,6,5,5,6,5,5,2,1,2,2,1,1,1,1,1,2,1,1,1,1,3,4,1,3,2,3,4,3,1,1,29
230002,2300,2,1,1,2,1955,66,4,3,5,2,1,0,1,2, ,0, ,2,1,10,6,30,30,60,2, , , ,0, ,2, ,6,7,6,6.33,6,7,7,6,5,6,5,6,2,3,1,2,1,1,1,1,1,1,1,1,1,1,4,4,1,3,1,3,3,4,1,1,29
230003,2300,3,1,1,2,1990,31,5,4,5,1,6,225,5,1,1,1,52,2,1,10,5,60,60,120,1,15,30,30,60,1,1,10,6,7,6,6.33,6,5,6,5,5,6,6,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,3,1,4,4,3,1,1,32
260001,2600,1,1,1,1,1961,60,5,4,5,2,12,525,8,1,1,1,84,2,1,15,5,30,30,60,2, , , ,0, ,1,3,6,5,5,5.33,6,5,4,4,4,6,5,4,1,2,1,2,4,3,3,4,3,3,4,3,3,3,3,4,3,3,3,2,2,3,2,2,21
260002,2600,2,1,1,2,1963,58,4,3,5,2,2,25,2,2, ,0, ,2,1,10,5,20,20,40,1,12,20,20,40,2,1,10,6,5,5,5.33,6,5,5,4,5,6,5,5,6,4,5,5,4,3,2,3,3,3,2,2,3,3,3,3,2,2,3,4,3,2,3,3,22
260003,2600,3,1,1,2,1992,29,5,4,5,1,7,275,5,1,1,1,31,2,1,10,5,20,20,40,1,12,30,30,60,2,1,4,6,5,5,5.33,6,5,5,6,5,6,6,6,1,2,1,2,4,3,3,4,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3,20
260004,2600,4,1,1,1,1994,27,5,4,5,1,8,325,6,1,1,1,31,2,1,10,5,30,30,60,1,12,20,20,40,2,1,10,6,6,5,5.67,6,5,5,6,5,6,6,5,4,3,4,4,3,3,3,2,2,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,22
270001,2700,1,1,1,1,1954,67,4,3,5,2,4,125,4,1,1,1,94,2,1,10,2,60,60,120,2, , , ,0, ,1,4,5,5,5,5,4,4,4,3,4,5,5,4,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,1,3,1,3,2,2,1,1,26
270002,2700,2,1,1,2,1966,55,4,3,5,2,7,275,5,1,1,1,44,2,1,10,4,10,10,20,1,16,5,5,10,1,1, ,6,5,6,5.67,5,4,5,3,3,6,5,6,3,2,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,3,2,3,3,4,1,1,26
290001,2900,1,1,1,2,1955,66,4,3,5,2,1,0,1,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,1, ,4,3,3,3.33,4,4,4,3,4,4,4,4,3,3,3,4,2,2,2,3,3,2,3,3,2,2,2,2,1,1,2,2,2,3,2,2,19
290002,2900,2,1,1,1,1962,59,4,3,5,2,7,275,5,1,1,1,74,2,2, , , , ,0,2, , , ,0, ,1,10,4,3,3,3.33,4,4,4,3,4,4,4,4,3,3,3,4,2,2,3,3,3,2,2,3,2,3,2,2,1,1,2,2,3,2,2,2,21
290003,2900,3,1,1,2,1985,36,5,4,5,1,7,275,5,1,1,1,31,2,2, , , , ,0,2, , , ,0, ,1,24,4,3,4,3.67,4,3,4,4,3,4,4,4,3,3,4,3,3,2,2,3,3,2,2,2,3,3,2,2,1,2,2,2,3,2,2,2,22
300001,3000,1,1,1,2,1963,58,4,3,5,3,7,275,5,1,1,1,51,2,2, , , , ,0,2, , , ,0, ,1, ,5,5,5,5,4,5,4,5,5,4,4,5,4,3,3,3,2,2,2,2,1,2,2,1,1,1,3,3,2,3,3,3,3,3,2,2,23
300002,3000,2,1,1,2,1990,31,5,4,5,1,6,225,5,1,1,1,31,2,1,9,6,20,20,40,1,1,30,60,90,1,1,12,4,4,4,4,3,3,4,3,4,3,3,3,4,4,3,4,3,3,4,3,3,4,3,3,2,3,3,3,2,3,3,2,3,3,2,2,22
300003,3000,3,1,1,2,1987,34,5,4,5,1,5,175,4,1,1,1,31,2,1,1,6,20,20,40,2, , , ,0, ,1,120,3,4,3,3.33,4,3,3,4,4,3,3,4,4,4,5,5,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,2,3,3,2,2,21
300004,3000,4,1,1,1,1989,32,4,3,5,1,5,175,4,1,1,1,52,2,2, , , , ,0,2, , , ,0, ,1,84,4,3,3,3.33,3,3,4,3,3,4,4,3,3,4,3,4,3,3,2,3,3,2,2,2,3,3,2,2,3,3,2,2,3,3,2,3,19
