GeoFIPS,state,unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
" ""09000"" ",Connecticut,% change,-0.148874636,1.037021809,6.700930549,2.257278332,3.751148647,3.795079983,-0.538873402,-4.497602697,-0.233778629,-2.198825688,0.736069079,-1.115580873,-1.367554731,2.155929524,-0.048103682,0.366019127,0.510175245
" ""04000"" ",Arizona,% change,3.129517592,6.397646479,4.244387447,8.146070693,5.408361179,2.747606146,-2.607844659,-8.071433108,0.942453798,2.223977191,1.929126885,0.693316618,1.306022273,2.394207451,3.211974265,3.51804249,4.108122309
" ""22000"" ",Louisiana,% change,1.961386575,3.797427852,4.683526188,6.010911042,-0.892252141,-3.580308224,0.279539688,1.440826089,3.638883322,-5.372191634,-0.187836384,-2.999349054,3.11536674,-0.521354718,-1.808942697,1.367137074,2.592829974
" ""01000"" ",Alabama,% change,2.855578428,2.562165439,6.37393374,3.348872801,1.880226977,0.58032087,-0.307144611,-3.926913629,2.382474482,1.531883596,0.672338709,1.001676407,-0.699433104,1.332697983,0.720347083,1.217017811,2.803798428
" ""21000"" ",Kentucky,% change,2.472041377,2.250452437,2.673967919,3.285028151,2.684425785,-0.846489432,0.163777336,-4.145136537,4.260087486,1.215574201,1.244019388,1.751329214,0.334074453,0.74109649,0.714442175,1.052645839,1.449340899
" ""45000"" ",South Carolina,% change,2.377659973,3.516786199,1.311048056,2.672666507,2.260303156,2.789188959,-0.288904983,-4.430271395,1.987898785,2.327971203,0.71609308,2.033124592,2.58266733,3.452753653,2.927758683,3.280964765,2.640309637
" ""41000"" ",Oregon,% change,2.202548093,4.213984639,4.954427285,3.707511035,5.96317502,1.90653355,1.660611496,-4.197566792,1.417682485,2.879813654,0.350812627,0.751850183,3.444690229,5.574589139,4.66105211,3.820679924,3.803816224
" ""40000"" ",Oklahoma,% change,1.831294019,1.530366765,3.269741909,4.101351781,6.700404099,1.837918168,3.792966662,-1.317421271,-0.005749341,3.722086929,5.044238729,2.373620131,5.707999139,4.348082386,-2.956790164,0.754570053,2.600119579
" ""19000"" ",Iowa,% change,2.840905851,4.206114867,8.067196852,2.953671201,1.39768076,4.362249589,-2.048775074,-2.356049479,2.690144006,1.145105876,3.9688777,-0.390569098,5.395581859,2.596742965,-0.294351015,-0.261665287,2.159558828
" ""20000"" ",Kansas,% change,1.492034323,1.666538629,0.344503396,3.711581918,5.43227755,5.250591854,2.204476539,-3.880906943,1.251390912,2.681158999,1.382172091,0.019771095,2.078085469,1.915785435,2.568708816,1.025710433,2.057871644
" ""32000"" ",Nevada,% change,3.15365562,5.045081205,11.51981372,8.387622887,3.947539979,-0.554097106,-3.837448349,-8.368622889,1.245511155,0.703504411,-1.303092879,0.179403861,1.346549545,4.176362538,2.854867572,3.185928896,4.206746173
" ""49000"" ",Utah,% change,1.924351907,2.043552108,5.197959381,6.250748239,8.772642457,4.866147254,-0.814788592,-2.179780586,2.101503966,3.024345011,1.307231986,2.471089948,3.168833586,4.131155755,4.030055171,3.876919661,3.703134491
" ""05000"" ",Arkansas,% change,3.294142979,3.940244154,4.832383715,3.40193738,2.184968448,-0.733704214,-0.343187641,-3.084283349,3.31065042,2.240272341,0.415276061,2.789784034,1.031661509,0.822468611,0.597442027,0.703283339,1.688005461
" ""11000"" ",District of Columbia,% change,3.03886347,2.006260056,5.130672869,2.205439655,0.287580418,2.707808396,3.681482301,-0.370475784,3.396992254,1.859000972,0.650092025,-0.051966332,1.981399755,2.025895517,1.986468038,1.20759401,2.454649972
" ""28000"" ",Mississippi,% change,1.059938742,4.074484533,2.110796,1.683857525,2.646576004,2.512346357,4.17361711,-4.716311377,0.523442904,-1.25612464,0.898305045,0.007892418,0.497698069,0.12410023,0.412992436,0.853565276,1.301985111
