pid,hid,housenum,p21gender,p21age1,p21school,p21mar,p21income1,p21job1,p21relig1,ott_score_21,sns_score_21,pc_ability_21,smart_ability_21,esteem_21,ott_score_20,sns_score_20,pc_ability_20,smart_ability_20,esteem_20,ott_change,sns_change,pc_change,smart_change,esteem_change
300003,3000,3,2,34,5,1,5,1,2,4,0,4.380952381,4.52,26,4,0,4.571428571,4.48,28,0,0,-0.19047619,0.04,-0.2
300004,3000,4,1,32,4,1,5,1,2,0,0,4.428571429,4.64,24,0,0,4.333333333,4.4,28,0,0,0.095238096,0.24,-0.4
310001,3100,1,1,62,4,2,7,1,1,0,0,2.571428571,3,23,9,0,2.523809524,2.8,26,-9,0,0.047619047,0.2,-0.3
310002,3100,2,2,58,4,2,5,1,1,0,0,1.761904762,2.8,24,0,0,2.333333333,2.48,27,0,0,-0.571428571,0.32,-0.3
310003,3100,3,2,29,5,1,7,1,2,0,0,3.523809524,4.32,26,5,0,4.19047619,4.4,26,-5,0,-0.666666666,-0.08,0
310004,3100,4,2,27,5,1,5,1,2,5,4.5,3.666666667,4.72,24,5,0,4.238095238,4.44,29,0,4.5,-0.571428571,0.28,-0.5
320001,3200,1,1,85,2,2,2,2,2,0,0,1.047619048,1.04,23,0,0,1,1,20,0,0,0.047619048,0.04,0.3
320002,3200,2,2,84,2,2,2,2,2,0,0,1.047619048,1.04,20,0,0,1,1.28,19,0,0,0.047619048,-0.24,0.1
320003,3200,3,1,50,4,1,1,2,2,0,0,2.238095238,3.32,21,0,0,3.142857143,3.76,19,0,0,-0.904761905,-0.44,0.2
330001,3300,1,2,82,2,3,2,2,1,0,0,1.047619048,1.04,26,0,0,1,1.24,21,0,0,0.047619048,-0.2,0.5
340001,3400,1,1,57,5,2,5,1,2,0,0,2.428571429,2.4,26,0,0,2.333333333,2.68,27,0,0,0.095238096,-0.28,-0.1
340003,3400,3,1,30,5,1,5,1,2,0,0,3.428571429,3.6,24,0,0,4.333333333,4.52,28,0,0,-0.904761904,-0.92,-0.4
340004,3400,4,1,24,5,1,1,2,2,3,0,3.666666667,3.68,23,3,0,4.523809524,4.52,27,0,0,-0.857142857,-0.84,-0.4
