시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,87.54,202305,3,"334,000",2,1971,이촌로 248
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,87.54,202304,19,"334,000",2,1971,이촌로 248
서울특별시 용산구 원효로4가,109-4,109,4,풍전,81.72,202301,20,"90,000",2,1971,원효로25길 13
서울특별시 영등포구 여의도동,50,50,0,시범,118.12,202312,26,"266,500",3,1971,63로 45
서울특별시 용산구 원효로4가,109-4,109,4,풍전,81.72,202311,10,"102,000",3,1971,원효로25길 14
서울특별시 성북구 안암동3가,136-1,136,1,대광,51.93,202309,21,"25,000",3,1971,안암로9나길 14
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202307,19,"179,000",3,1971,63로 45
서울특별시 서대문구 연희동,105-4,105,4,은하,49.59,202304,14,"34,000",3,1971,연희로15길 127
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202303,9,"162,000",3,1971,63로 45
서울특별시 동대문구 제기동,120-10,120,10,홍파,39.67,202302,28,"45,000",3,1971,제기로15길 3
서울특별시 영등포구 여의도동,50,50,0,시범,118.12,202301,19,"204,000",3,1971,63로 45
서울특별시 용산구 도원동,03월 04일,3,4,제일1,45.26,202301,11,"35,000",3,1971,새창로12길 11-7
서울특별시 관악구 봉천동,645-87,645,87,복권,47.61,202312,5,"29,000",4,1971,은천로5길 39
서울특별시 영등포구 영등포동5가,24,24,0,동남,83.5,202310,26,"70,000",4,1971,영등포로37길 4
서울특별시 용산구 원효로4가,109-4,109,4,풍전,81.72,202309,1,"97,000",4,1971,원효로25길 13
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,101.95,202308,18,"390,000",4,1971,이촌로 248
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,120.56,202307,11,"425,000",4,1971,이촌로 248
서울특별시 동대문구 제기동,120-10,120,10,홍파,65.92,202307,8,"55,000",4,1971,제기로15길 3
서울특별시 영등포구 영등포동5가,24,24,0,동남,84.1,202306,28,"61,000",4,1971,영등포로37길 4
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,101.95,202306,27,"377,000",4,1971,이촌로 248
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,120.56,202306,8,"425,000",4,1971,이촌로 248
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,120.56,202305,13,"418,000",4,1971,이촌로 248
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202301,26,"160,000",4,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202311,28,"199,000",5,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,60.96,202310,24,"175,000",5,1971,63로 45
서울특별시 성북구 성북동,348-3,348,3,성북,37.36,202310,14,"23,500",5,1971,성북로31길 40-12
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,101.95,202310,4,"398,000",5,1971,이촌로 248
