pid,hid,p21age1,est_1,est_2,est_3,est_4,est_5,est_6,est_7,est_8,est_9,est_10,satis_1,satis_2,satis_3
470003,4700,52,2,2,2,3,3,1,2,1,2,2,3,3,4
480001,4800,81,2,2,1,2,1,2,2,2,2,2,5,3,4
480002,4800,75,2,2,1,1,1,2,1,2,2,2,4,4,4
490001,4900,57,3,3,3,3,3,2,2,3,2,3,6,6,6
490003,4900,26,1,1,2,1,2,2,2,3,2,2,6,5,5
500001,5000,60,2,2,2,3,3,2,3,3,2,2,5,5,5
510001,5100,77,2,2,2,1,1,2,1,3,2,2,3,3,3
520001,5200,60,3,3,3,3,2,2,3,3,2,2,6,6,6
520002,5200,49,3,2,2,3,2,2,3,3,2,1,6,6,5
530001,5300,73,2,2,2,1,1,2,1,2,2,2,4,4,4
530002,5300,74,2,2,2,3,3,2,3,2,2,2,4,4,3
530003,5300,52,2,2,1,2,1,3,3,3,2,2,5,5,4
530004,5300,49,2,2,2,3,3,3,2,2,2,2,4,4,4
540001,5400,74,3,2,2,3,2,3,3,3,3,3,5,5,4
540002,5400,64,2,2,2,2,2,3,2,3,3,3,4,4,4
540003,5400,33,2,2,3,2,3,3,3,3,3,3,4,4,4
550001,5500,76,2,2,1,2,1,2,2,1,2,2,4,4,4
550002,5500,40,2,2,2,3,3,3,3,2,2,2,4,4,5
550003,5500,38,4,3,2,3,2,3,3,2,1,1,6,6,5
560001,5600,47,2,3,1,3,3,3,2,2,1,2,6,6,5
560002,5600,44,2,2,1,3,3,3,2,2,2,2,6,6,6
570001,5700,63,3,3,1,3,2,3,3,2,2,1,6,6,5
570002,5700,63,4,3,1,2,3,3,2,2,1,1,6,6,5
580001,5800,77,3,2,3,3,3,3,3,2,2,2,5,4,4
580002,5800,73,3,2,2,3,3,3,3,2,2,1,5,4,4
590001,5900,46,2,2,1,3,2,3,2,2,2,2,5,5,5
600002,6000,59,3,2,3,2,3,3,3,2,2,2,5,5,4
600004,6000,29,3,3,1,2,1,3,3,3,2,2,6,6,5
600005,6000,25,3,3,1,2,1,3,3,2,2,2,6,6,6
610001,6100,30,3,3,1,1,1,3,3,2,2,2,6,6,6
620001,6200,38,3,3,2,2,2,3,3,2,2,2,6,6,6
630001,6300,43,3,3,3,3,3,3,2,2,3,3,6,6,6
630002,6300,41,3,3,2,3,2,3,3,3,3,3,5,4,4
640001,6400,58,3,3,3,3,3,2,2,1,2,2,5,5,4
650002,6500,81,2,2,1,2,1,3,3,3,2,2,5,4,4
660001,6600,59,3,3,1,4,2,4,3,4,2,2,6,5,5
660002,6600,56,4,4,1,4,2,4,3,4,2,1,5,6,7
660004,6600,28,3,3,1,3,2,4,4,3,2,1,5,5,5
670001,6700,55,4,3,1,2,2,2,3,3,3,2,5,5,4
670002,6700,53,4,4,1,2,1,4,4,3,1,1,5,5,5
680002,6800,84,2,2,2,2,2,2,2,2,2,2,3,3,3
690001,6900,55,3,4,1,4,1,4,4,4,1,1,6,6,6
690002,6900,52,4,4,1,4,1,4,4,4,2,2,6,5,5
700001,7000,62,3,3,4,3,3,3,3,4,4,3,5,4,6
700002,7000,55,3,3,3,3,3,4,3,3,3,2,5,5,5
710001,7100,54,4,3,3,3,3,4,4,4,3,3,5,5,4
710002,7100,50,3,4,4,4,4,3,3,3,2,2,5,5,5
