pid,hid,p21age1,est_1,est_2,est_3,est_4,est_5,est_6,est_7,est_8,est_9,est_10,satis_1,satis_2,satis_3
14260003,142600,21,3,4,1,3,1,4,3,3,1,1,5,5,6
14260004,142600,17,3,4,1,3,1,4,4,3,1,1,5,5,4
14300001,143000,50,2,3,3,2,3,2,3,2,2,2,3,3,2
14300004,143000,22,2,3,2,2,4,2,3,2,2,2,3,3,2
14330002,143300,52,3,3,2,3,2,3,3,2,2,2,6,5,6
14340001,143400,45,3,2,2,3,3,3,3,4,2,2,4,5,5
14340002,143400,45,3,2,2,3,3,2,2,3,2,2,5,4,4
14340004,143400,20,2,2,2,2,2,3,3,3,2,2,5,5,5
14340005,143400,15,3,2,2,3,3,3,3,2,2,2,5,5,5
14360002,143600,54,2,2,2,3,3,2,1,2,3,2,3,3,3
14360003,143600,29,2,1,2,2,1,1,2,2,2,1,4,4,4
14360004,143600,28,3,3,2,3,3,3,3,3,1,1,5,5,5
14360005,143600,13,2,3,3,3,3,2,2,2,1,1,5,5,5
14370002,143700,52,3,2,2,2,3,3,3,3,1,2,4,4,4
14370003,143700,17,3,2,2,3,3,3,3,3,2,2,4,4,4
14370004,143700,15,3,2,2,3,3,2,2,2,2,2,5,5,4
14380002,143800,56,3,2,2,3,3,2,2,2,3,3,4,4,4
14380003,143800,32,3,3,3,2,2,3,3,3,2,2,4,4,4
14380004,143800,25,3,3,2,3,3,3,3,3,2,2,4,4,4
14400002,144000,57,2,2,1,3,2,3,2,3,1,1,4,4,4
14470001,144700,60,3,3,1,3,2,3,3,2,1,1,5,6,5
14470002,144700,60,3,2,1,2,2,3,2,3,1,1,5,5,5
14470003,144700,28,4,4,1,3,2,4,3,4,2,2,7,6,7
14480002,144800,64,2,2,3,2,2,2,3,3,3,1,5,6,5
14490001,144900,76,4,4,3,3,4,4,3,3,4,4,4,5,5
14490002,144900,72,4,4,3,3,4,4,3,3,4,4,4,5,5
14530001,145300,53,3,3,1,3,2,3,3,2,1,2,5,6,5
14530002,145300,87,2,2,1,2,2,3,3,1,2,1,5,5,5
14540001,145400,47,2,3,2,3,1,2,2,1,2,2,4,3,5
14540002,145400,46,3,3,1,4,2,3,3,2,1,1,5,6,5
14550002,145500,66,3,2,1,3,2,4,3,2,1,1,5,4,4
14560001,145600,43,3,3,2,3,1,2,1,3,2,2,3,3,4
14560002,145600,48,2,3,1,3,2,4,2,2,1,1,5,3,4
14560003,145600,13,2,3,2,1,3,2,3,2,2,2,5,5,4
14580001,145800,42,4,4,1,4,1,3,4,2,1,2,6,6,5
14580002,145800,39,2,2,3,3,3,3,3,2,2,1,6,5,4
14590001,145900,62,2,3,2,1,3,2,2,1,2,2,4,3,4
14590002,145900,57,3,3,1,3,1,3,4,3,1,1,5,5,4
14590003,145900,29,3,2,1,3,1,3,2,2,1,2,4,3,5
14600001,146000,48,3,3,1,3,1,2,3,2,1,1,6,7,6
14600002,146000,45,2,1,1,1,2,3,3,2,3,1,5,5,4
14620001,146200,80,3,4,4,3,2,3,3,2,3,3,3,4,4
14620002,146200,78,2,2,2,2,2,2,2,2,2,2,5,4,5
14620003,146200,49,3,2,2,1,2,3,2,1,1,2,4,4,3
14630001,146300,62,3,4,1,4,2,3,4,4,2,1,6,7,7
14640002,146400,51,2,3,2,2,2,1,3,2,2,1,5,5,6
14660001,146600,62,3,3,1,3,1,4,2,2,1,2,6,6,5
14660002,146600,58,3,3,1,3,2,2,2,1,1,2,6,6,5
14660003,146600,32,4,4,1,3,1,4,4,3,1,1,6,5,6
14670002,146700,53,3,4,1,4,2,4,4,3,1,1,6,5,6
14700001,147000,57,2,2,2,1,2,2,3,2,1,2,4,4,3
14700002,147000,55,2,2,2,1,1,2,1,2,2,2,4,4,3
14700003,147000,32,2,2,2,1,2,3,2,2,1,2,4,3,4
14700004,147000,30,3,2,2,2,3,2,2,2,2,2,4,4,3
14710001,147100,48,2,2,1,2,2,1,2,2,2,1,4,3,4
14710002,147100,23,2,2,3,2,3,2,3,2,1,1,4,4,3
14730002,147300,58,2,2,1,1,2,2,1,1,2,2,4,3,3
14730003,147300,55,2,2,1,1,2,2,2,1,2,2,4,3,3
14730004,147300,23,3,2,2,2,3,2,2,1,2,3,4,3,3
14740001,147400,53,3,2,2,3,3,2,2,2,1,1,5,5,4
14740002,147400,53,3,3,1,4,3,3,2,1,2,2,5,5,4
14740003,147400,23,4,3,2,3,2,3,2,2,1,2,4,5,4
14740004,147400,18,3,3,2,2,3,2,2,3,2,2,4,4,4
14750001,147500,85,3,3,1,2,3,2,3,3,1,1,4,4,3
14750002,147500,77,3,3,1,2,2,3,3,3,1,1,4,4,4
14760003,147600,78,2,2,2,2,3,2,2,3,2,1,3,3,3
14770003,147700,30,3,3,1,3,2,3,3,3,1,1,5,4,5
14780002,147800,61,2,3,2,3,3,2,2,3,2,1,5,4,4
14790001,147900,54,3,3,1,2,1,3,3,3,1,1,4,4,5
14790002,147900,52,2,2,1,2,2,3,3,2,1,1,5,5,5
14810001,148100,40,3,3,1,3,1,3,2,3,1,1,5,6,6
14810002,148100,38,3,3,1,3,1,3,4,3,1,1,6,6,5
14820001,148200,59,3,3,1,4,1,3,3,3,1,1,5,5,6
14820002,148200,59,3,3,1,2,1,3,2,3,1,1,5,6,5
14820003,148200,19,3,4,1,3,1,4,3,3,1,1,6,6,7
14830001,148300,58,3,3,1,3,1,3,3,2,1,1,5,6,6
14830002,148300,57,3,3,1,2,1,2,2,3,1,1,5,5,6
14830003,148300,27,2,2,1,3,1,3,3,2,1,1,5,4,5
14840001,148400,41,3,2,1,3,1,3,2,3,1,1,5,6,5
14840002,148400,38,3,3,1,4,1,3,3,2,1,1,6,7,6
14850001,148500,49,3,3,1,4,1,4,3,3,1,1,5,4,4
14850002,148500,48,3,4,1,3,1,3,2,3,1,1,5,6,5
14850003,148500,20,3,3,1,4,1,3,3,4,1,1,5,6,5
14860001,148600,51,2,2,1,2,1,2,2,2,1,1,5,6,5
14860002,148600,49,2,2,1,3,1,3,2,2,1,1,6,6,5
14860003,148600,22,2,2,1,2,1,2,2,2,1,1,5,5,6
14870001,148700,59,2,2,1,2,1,2,2,2,1,1,6,5,5
14870002,148700,57,2,2,1,2,1,2,2,2,1,1,5,6,5
14870004,148700,25,3,3,1,3,1,3,3,3,1,1,6,6,5
14880001,148800,43,2,3,1,3,1,3,2,3,1,1,5,6,5
14880002,148800,38,2,2,1,2,1,3,2,2,1,1,6,5,6
14880003,148800,14,2,2,1,2,1,2,2,2,1,1,5,5,6
14900001,149000,37,4,3,1,3,1,4,3,4,1,1,5,6,6
14900002,149000,35,3,4,1,3,1,3,4,3,1,1,6,5,6
14910001,149100,59,3,4,3,3,4,4,3,2,3,3,6,5,5
14920001,149200,79,3,2,2,2,2,3,3,2,1,2,6,4,4
14920002,149200,76,2,3,3,2,1,2,3,2,3,2,3,4,3
14930001,149300,62,3,3,2,2,2,3,3,3,2,2,4,3,3
14930002,149300,59,3,3,2,3,2,2,3,2,2,2,4,3,4
14950001,149500,61,2,2,3,2,2,2,2,2,2,1,5,5,5
14950002,149500,28,3,2,3,3,2,3,3,2,3,3,4,4,5
14950003,149500,60,2,2,1,2,3,2,2,2,2,2,5,5,6
14970001,149700,59,3,4,3,3,3,3,3,2,3,3,5,5,5
14970002,149700,61,3,3,2,3,1,3,3,2,3,2,4,5,4
14970003,149700,25,3,2,3,3,3,2,3,2,1,2,5,6,5
15110002,151100,46,2,2,1,2,2,2,2,1,2,1,4,4,4
15110004,151100,13,3,2,3,2,2,2,1,2,2,1,3,3,3
15120002,151200,47,2,2,1,2,2,2,2,1,1,1,4,4,4
15120003,151200,23,3,2,2,3,2,2,2,2,2,2,3,3,3
15120004,151200,18,2,2,3,3,2,2,1,2,1,1,4,3,3
15130001,151300,37,2,2,2,3,2,2,3,2,1,2,5,5,5
15130002,151300,43,2,3,1,3,2,2,2,2,1,2,6,6,6
15130003,151300,64,2,2,3,2,3,2,2,2,2,2,2,2,3
15140001,151400,53,3,2,1,2,2,3,3,3,1,1,6,5,5
15140002,151400,53,2,2,1,2,2,3,3,3,1,1,5,6,6
15150001,151500,68,3,2,2,4,3,2,2,3,3,3,5,4,4
15150002,151500,66,3,3,2,3,4,3,2,2,2,3,2,3,2
15150003,151500,89,2,3,4,3,3,2,2,1,2,2,5,5,4
15160001,151600,57,3,3,1,4,2,2,3,2,1,2,5,6,5
15160002,151600,57,3,2,4,4,3,3,2,2,2,3,6,6,5
15160003,151600,28,4,3,1,4,1,3,3,2,1,2,4,5,4
15160004,151600,26,4,3,2,1,4,3,3,3,2,2,4,4,4
15170001,151700,91,2,2,3,2,2,2,1,2,2,2,4,4,4
15190001,151900,64,2,3,3,2,2,1,2,2,3,3,5,5,4
15190002,151900,63,2,2,1,3,3,2,2,3,3,3,3,3,4
15200001,152000,73,3,4,2,2,3,3,2,2,3,3,5,5,4
15200002,152000,44,3,4,1,3,2,4,3,3,2,2,6,7,7
15200003,152000,44,3,4,1,3,2,4,3,3,2,2,6,7,6
15210001,152100,85,3,2,2,3,1,2,2,3,2,2,3,3,3
15230001,152300,87,2,4,3,2,1,2,1,1,1,1,4,3,3
15230002,152300,50,3,1,2,1,3,2,1,1,1,2,5,5,4
15230003,152300,43,3,4,2,3,1,1,1,1,1,1,5,5,6
15230004,152300,20,2,1,3,2,1,3,2,1,1,1,5,3,5
15230005,152300,18,2,2,3,2,1,3,2,1,1,1,4,3,3
15230006,152300,17,3,2,3,1,2,1,3,2,2,2,3,5,4
15250001,152500,67,2,3,1,3,1,4,4,3,2,2,5,5,5
15250002,152500,66,2,2,2,2,2,3,2,3,1,1,6,5,4
15260001,152600,74,3,3,1,2,2,2,2,2,1,1,5,5,4
15260002,152600,71,2,2,1,2,1,2,2,2,1,2,5,5,5
15270001,152700,66,2,3,2,1,3,2,2,3,2,1,4,4,5
15270002,152700,59,2,3,2,1,2,1,1,1,2,1,5,5,4
15270003,152700,87,1,2,1,2,3,2,1,1,1,2,3,3,5
15280001,152800,49,2,2,1,2,2,2,2,1,1,1,4,5,5
15280002,152800,85,2,2,2,2,2,2,2,1,1,1,4,4,4
15280003,152800,31,2,2,1,3,2,2,2,1,1,1,4,4,5
15290001,152900,83,2,2,1,2,2,2,2,1,2,2,4,4,4
15300001,153000,52,3,3,1,3,2,2,2,3,1,1,3,3,4
15300002,153000,48,3,2,2,3,2,2,2,3,1,1,3,3,4
15300003,153000,24,3,3,1,4,1,3,2,1,1,1,5,4,5
15300004,153000,17,3,3,2,4,2,3,3,3,2,2,5,5,5
15310001,153100,85,2,2,1,1,3,2,2,1,2,2,4,4,4
15330001,153300,90,3,2,3,2,1,3,2,2,1,2,4,4,3
15340001,153400,55,3,1,2,3,2,2,1,2,1,1,3,5,5
15340002,153400,51,1,2,1,3,2,1,3,3,2,1,5,5,6
15340003,153400,24,3,2,3,1,2,1,1,3,3,2,3,5,5
15340004,153400,22,3,2,3,1,2,1,1,1,3,2,5,4,5
15390001,153900,49,4,3,1,4,2,3,3,2,2,1,6,7,7
15390002,153900,49,3,2,1,3,2,3,2,3,1,1,4,5,4
15400001,154000,58,4,3,1,3,2,3,3,3,1,1,5,5,4
15400002,154000,49,3,2,1,2,1,3,3,2,1,1,5,5,5
15410001,154100,44,2,4,1,3,2,4,3,3,2,2,7,5,6
15410002,154100,45,3,3,1,3,2,3,3,1,2,1,4,5,5
15410003,154100,20,3,3,1,4,1,3,3,2,1,1,4,4,4
15420002,154200,75,3,2,2,3,1,2,1,1,1,2,4,3,3
15470002,154700,79,2,2,1,3,2,1,2,1,1,1,5,5,5
15480001,154800,50,3,2,3,1,3,2,2,1,2,2,4,5,5
15480002,154800,48,3,3,2,3,1,2,1,3,2,2,5,6,4
15480003,154800,19,2,3,2,1,2,1,3,2,2,1,4,3,5
15480004,154800,17,3,1,2,1,3,2,1,2,2,3,3,5,4
15530001,155300,83,2,2,1,2,2,2,2,1,2,1,5,5,5
15530002,155300,78,2,2,1,2,2,3,2,2,1,2,4,4,4
15540001,155400,94,2,2,1,2,2,2,2,2,2,2,4,4,4
15550001,155500,82,2,2,2,2,2,2,2,2,1,2,4,4,4
15560001,155600,50,3,3,1,3,1,3,2,1,1,1,5,5,5
15560002,155600,44,2,2,1,2,2,2,1,2,1,1,4,5,4
15560003,155600,19,2,2,1,3,2,3,3,1,1,1,4,4,4
15560004,155600,16,3,2,1,2,2,3,2,2,1,1,4,4,4
15590002,155900,48,3,3,1,4,1,3,3,2,1,1,5,5,5
15590004,155900,24,3,3,1,3,1,3,3,2,1,1,4,3,3
15590005,155900,79,3,2,1,3,1,3,3,2,1,1,4,4,4
15600001,156000,58,3,2,1,3,2,3,2,2,1,1,4,4,4
15600002,156000,54,3,2,1,3,2,3,2,2,1,1,4,4,4
15600003,156000,13,3,2,1,3,2,3,2,3,1,1,4,4,4
15610001,156100,52,3,2,1,3,2,3,3,4,1,1,5,5,5
15610002,156100,50,2,2,3,2,3,2,1,3,2,1,4,5,5
15610003,156100,75,2,2,1,2,1,3,2,3,2,1,4,5,5
15610004,156100,17,4,3,1,4,1,3,3,3,1,1,6,7,6
15630001,156300,78,3,3,1,3,1,3,3,1,1,1,7,7,7
15630002,156300,77,3,3,1,3,1,3,3,1,1,1,7,7,7
15630101,156301,50,3,3,2,4,3,4,3,3,3,1,3,5,2
15630102,156301,25,3,3,2,4,1,3,2,3,2,4,5,6,6
15630103,156301,24,3,2,2,3,3,3,3,3,2,2,3,4,4
15630104,156301,53,3,3,2,3,1,3,3,3,1,2,6,6,4
15640001,156400,52,4,3,1,4,2,3,3,3,1,1,6,6,6
15640002,156400,52,2,2,2,2,2,2,2,2,2,2,5,5,5
15640003,156400,21,2,2,3,2,2,2,3,3,3,2,4,5,5
15650001,156500,49,2,2,2,3,3,2,1,2,2,2,4,5,4
15650002,156500,45,2,2,3,3,3,2,1,2,3,1,5,5,6
15650003,156500,15,3,3,1,3,2,3,3,3,1,1,3,3,3
15650004,156500,15,3,3,3,2,1,4,2,3,1,1,4,4,4
15680001,156800,48,2,2,2,2,2,2,3,3,2,2,5,4,4
15680002,156800,46,3,2,1,3,2,2,3,2,1,1,4,6,4
15680003,156800,21,4,3,1,3,2,4,4,3,1,1,6,6,6
15680004,156800,20,2,2,2,3,2,3,3,3,2,2,5,5,4
15710001,157100,54,4,4,1,4,1,4,3,3,1,1,6,6,6
15710002,157100,60,4,4,1,4,1,4,4,2,1,1,6,6,6
15710003,157100,29,3,3,2,3,1,3,3,3,1,1,5,5,5
15710004,157100,25,4,4,1,4,2,3,3,2,1,1,5,5,5
15720002,157200,77,2,2,1,4,2,2,3,2,1,1,3,6,6
15720003,157200,49,4,4,1,4,2,4,4,2,1,1,2,7,5
15720004,157200,23,3,3,1,4,1,4,4,3,1,1,6,7,6
15720005,157200,20,4,4,1,4,1,4,4,3,1,1,6,6,6
15720006,157200,53,3,3,1,3,2,4,4,1,1,1,5,7,7
15730001,157300,71,2,2,1,2,1,2,2,2,1,1,5,5,5
15730002,157300,68,3,3,1,3,1,3,3,3,1,1,6,6,6
15730007,157300,43,3,4,1,3,2,3,3,3,1,1,5,5,5
15730008,157300,15,2,2,2,2,3,2,2,3,2,2,7,4,3
15730101,157301,40,3,3,2,3,2,3,3,2,2,2,4,4,4
15730102,157301,42,2,2,1,3,2,2,2,3,3,2,4,5,4
15750002,157500,80,3,2,1,2,2,3,3,3,1,1,5,5,5
15750101,157501,51,2,2,1,2,2,3,2,3,1,1,4,4,4
15750102,157501,47,3,2,1,3,2,3,1,3,1,1,4,4,4
15750103,157501,20,3,2,1,3,2,3,2,3,1,1,4,4,4
15750104,157501,13,2,2,1,2,2,2,2,2,1,1,4,4,4
15760001,157600,54,2,2,2,2,2,2,2,2,2,2,4,4,4
15760002,157600,52,4,4,4,4,4,4,4,4,4,4,4,4,4
15760003,157600,20,4,4,1,4,1,4,4,1,1,1,7,7,7
15760004,157600,18,4,4,1,4,1,4,4,1,1,1,7,7,7
15770001,157700,52,3,3,1,3,2,4,3,3,1,1,6,6,6
15770002,157700,45,3,3,1,3,1,3,3,3,1,1,5,5,6
15770003,157700,20,2,2,1,2,3,2,2,2,1,1,5,5,5
15770004,157700,17,3,2,1,3,1,3,3,3,1,1,5,6,6
15780001,157800,73,3,3,1,3,2,3,3,3,1,1,5,5,5
15820001,158200,51,2,1,2,2,3,2,2,2,2,2,2,2,2
15860001,158600,58,3,4,1,3,3,2,4,3,2,1,6,5,6
15860002,158600,58,3,3,2,4,3,2,3,2,2,1,4,5,5
15860003,158600,24,4,3,2,4,3,2,4,2,1,2,6,6,5
15890001,158900,54,3,1,2,2,3,3,2,3,1,2,4,4,5
16080003,160800,38,3,2,1,3,2,2,1,3,1,2,4,5,4
16100001,161000,58,4,3,2,3,3,3,3,2,2,2,7,6,5
16100002,161000,54,2,2,3,2,2,3,3,2,3,2,6,7,5
16100004,161000,28,4,4,2,3,2,2,2,4,2,2,7,6,6
16100005,161000,88,3,2,2,1,1,2,2,2,1,2,4,4,3
16100101,161001,30,3,3,1,3,2,3,2,3,1,1,7,6,6
16100102,161001,29,3,3,1,2,2,2,3,3,1,1,6,6,6
16110001,161100,84,2,2,3,2,3,2,1,2,2,2,5,5,5
16120001,161200,38,2,2,1,2,1,2,2,2,1,1,5,6,5
16130001,161300,53,3,3,1,3,1,3,3,3,1,1,6,5,5
16130002,161300,50,2,2,1,2,1,2,2,2,1,1,6,6,5
16140001,161400,51,3,3,1,3,1,3,4,3,1,1,5,6,6
16140002,161400,47,3,3,1,3,1,3,3,3,1,1,6,6,7
16150001,161500,49,3,3,1,3,1,4,3,3,1,1,6,7,6
16150002,161500,47,3,2,1,4,1,4,3,3,1,1,5,6,6
16150003,161500,15,2,2,1,2,1,2,2,2,1,1,6,5,6
16180001,161800,41,3,2,1,4,1,4,3,3,1,1,6,6,7
16180002,161800,41,2,3,1,4,1,4,3,3,1,1,6,7,6
16190001,161900,48,2,2,1,2,1,3,3,2,1,1,5,6,5
16200001,162000,51,2,3,1,2,1,3,2,3,1,1,5,6,6
16200002,162000,48,2,2,1,3,1,4,3,3,1,1,5,6,5
16200003,162000,20,3,3,1,3,1,3,2,2,1,1,5,6,6
16210001,162100,81,2,2,1,2,2,2,2,2,1,1,5,5,4
16210002,162100,76,3,3,1,2,2,2,2,2,1,1,5,5,5
16220001,162200,59,3,3,2,3,3,3,3,3,2,2,5,6,5
16220002,162200,56,3,3,2,3,3,3,3,3,2,2,5,5,5
16220003,162200,30,3,3,2,3,3,3,3,3,2,1,6,6,5
16220004,162200,28,3,3,2,3,3,3,3,3,2,1,5,6,5
16240001,162400,40,3,3,1,3,3,3,3,3,1,1,6,5,6
16240002,162400,46,3,3,2,3,3,3,3,3,2,1,5,6,5
16250001,162500,62,4,4,2,3,3,3,3,3,1,1,6,5,6
16250002,162500,60,4,4,2,4,4,3,3,3,1,1,5,6,6
16250003,162500,30,4,4,2,3,4,4,3,3,2,1,6,6,6
16260001,162600,63,2,2,2,2,2,3,3,2,2,2,5,5,5
16260002,162600,35,3,3,2,3,3,3,2,3,2,2,5,6,5
16280001,162800,54,2,2,2,1,2,2,2,2,1,1,5,5,4
16280002,162800,48,2,2,1,2,2,2,2,2,1,1,5,5,4
16280003,162800,21,2,2,1,2,2,2,2,1,2,2,6,5,5
16290001,162900,81,3,2,2,1,2,2,2,1,1,1,5,4,4
16290002,162900,79,3,2,2,2,2,2,2,1,1,1,4,3,4
16300001,163000,62,3,2,2,1,2,2,2,1,1,1,5,5,4
16310001,163100,54,2,3,2,2,3,2,2,3,2,2,4,4,4
16310002,163100,51,2,2,3,3,2,2,3,2,3,3,4,3,3
16310003,163100,23,3,3,2,2,3,3,2,3,2,3,4,4,4
16310004,163100,21,3,3,2,3,2,3,2,3,3,3,4,4,4
16320001,163200,46,2,2,2,1,2,2,1,1,1,2,4,4,3
16320002,163200,46,2,2,2,1,2,2,1,1,2,2,3,3,3
16320003,163200,19,2,2,2,3,3,2,2,2,3,2,4,4,5
16320004,163200,15,2,2,2,2,1,2,2,1,2,2,4,4,4
16340001,163400,51,3,3,1,3,1,3,3,3,1,3,6,6,6
16340002,163400,52,4,3,1,3,2,3,3,3,1,2,7,7,7
16340003,163400,25,4,3,1,4,1,3,3,3,3,3,6,6,6
16340004,163400,23,4,4,1,4,1,4,4,4,2,2,7,7,7
16350002,163500,46,3,3,1,4,2,3,3,3,1,2,4,4,4
16350003,163500,19,3,3,1,3,1,3,3,3,1,1,6,6,6
16350004,163500,17,4,4,1,4,1,4,4,1,1,1,7,7,7
16420001,164200,54,2,2,2,1,1,2,2,1,2,1,4,4,3
16420002,164200,47,2,2,1,2,2,1,1,2,2,1,3,3,4
16420003,164200,22,2,2,1,2,2,1,1,2,2,3,3,3,4
16420004,164200,19,2,2,1,2,1,2,2,2,3,2,3,3,3
16440001,164400,65,3,2,2,3,3,2,2,3,2,3,4,4,3
16440002,164400,60,2,2,2,3,2,1,1,2,2,2,4,4,3
16470001,164700,52,3,3,1,3,2,3,3,3,1,1,6,5,5
16470002,164700,45,3,3,3,3,1,3,3,3,1,1,5,6,6
16470003,164700,17,4,4,1,4,1,4,4,4,1,2,7,6,6
16470004,164700,13,3,1,2,3,3,2,1,3,1,2,5,5,5
16510001,165100,52,2,2,1,2,3,2,2,1,1,2,4,4,4
16510002,165100,48,2,2,1,2,1,2,1,1,2,2,4,4,3
16510003,165100,22,2,2,1,2,3,1,2,3,2,2,4,4,4
16520001,165200,51,2,2,3,2,3,3,3,3,3,3,5,5,5
16520002,165200,47,3,3,1,3,2,3,3,2,2,2,6,4,4
16520003,165200,19,2,1,3,2,3,1,1,1,2,1,3,2,1
16520004,165200,17,3,3,1,3,1,3,2,2,1,2,5,6,6
16550001,165500,54,3,3,2,2,2,3,2,2,2,3,4,3,3
16550002,165500,54,2,2,3,3,3,2,2,2,2,2,4,4,4
16550003,165500,18,2,2,1,1,2,2,2,1,2,2,4,4,3
16560001,165600,64,2,2,1,2,2,1,2,2,1,2,4,4,3
16560002,165600,60,2,2,1,1,2,2,3,2,1,2,4,3,4
16570001,165700,76,2,2,1,2,2,1,1,2,2,2,3,3,4
16570002,165700,74,2,2,2,1,2,2,1,1,2,2,3,3,2
16580001,165800,55,2,2,2,3,3,2,3,2,3,3,3,4,3
16580002,165800,53,2,3,3,2,2,2,3,3,2,3,4,4,3
16580003,165800,26,2,3,3,2,3,3,2,2,3,3,3,3,4
16580004,165800,19,2,3,3,2,3,3,3,2,3,4,3,3,4
16600001,166000,49,2,2,1,2,2,2,1,1,1,2,4,4,4
16610001,166100,73,2,2,3,2,2,1,2,3,2,2,3,3,4
16610002,166100,69,2,2,2,1,2,2,1,3,2,2,4,3,3
16740002,167400,64,2,2,1,2,2,1,2,2,1,1,4,4,3
16760001,167600,76,3,2,2,2,2,1,2,2,2,2,5,5,5
16760002,167600,73,3,2,2,2,1,2,2,2,2,1,6,6,6
16770001,167700,60,2,2,3,2,2,2,3,2,2,2,4,4,4
16770002,167700,28,3,3,3,2,2,2,2,3,3,2,5,5,5
16780001,167800,78,3,2,2,1,2,2,2,2,1,1,3,3,3
16790003,167900,87,2,2,2,2,3,2,2,3,2,2,3,3,3
16790005,167900,50,3,2,1,3,3,2,2,3,1,1,4,5,4
16810002,168100,47,3,3,2,3,3,3,3,2,1,1,5,4,4
16820001,168200,49,3,2,1,3,3,2,2,3,1,1,5,4,5
16820002,168200,44,3,2,2,3,2,3,3,2,2,2,5,5,4
16830001,168300,62,3,3,1,3,2,3,3,2,1,1,4,3,4
16850001,168500,66,3,2,1,2,3,2,2,3,1,1,4,4,4
16850002,168500,62,3,2,2,3,3,2,2,3,1,1,4,4,4
16880001,168800,75,3,2,1,2,2,3,2,2,1,1,5,5,5
16880002,168800,73,3,3,1,2,2,2,3,2,1,1,5,5,5
17030002,170300,38,3,3,2,3,3,2,3,3,1,1,5,5,5
17030003,170300,64,2,3,3,2,2,2,3,3,2,2,5,5,5
17030004,170300,17,3,3,2,4,2,3,3,2,2,2,5,5,4
17040001,170400,60,3,3,4,3,3,3,3,3,3,3,5,5,5
17040002,170400,25,3,3,2,3,2,3,3,3,1,2,5,5,5
17060001,170600,66,3,3,2,3,1,3,2,2,1,2,4,3,3
17070001,170700,78,3,3,4,4,3,3,3,2,2,2,5,5,5
17070002,170700,76,3,2,2,2,3,4,3,3,1,2,5,5,4
17070003,170700,19,3,3,2,3,1,4,3,3,2,2,5,5,5
17070004,170700,17,2,2,3,3,3,2,2,2,2,2,5,5,5
17080001,170800,53,3,3,4,3,2,3,3,3,4,3,5,5,5
17080002,170800,28,4,3,3,2,2,3,3,3,3,3,6,6,5
17080003,170800,23,3,3,2,3,1,3,3,3,3,3,5,5,5
17090001,170900,84,1,3,2,2,3,3,3,2,2,2,3,3,3
17100002,171000,82,2,3,2,2,3,3,2,2,2,3,4,4,4
17110001,171100,61,3,3,2,3,2,3,3,3,1,2,5,4,4
17110002,171100,58,3,3,4,2,2,3,3,3,2,2,5,4,4
17110003,171100,34,3,4,4,3,2,2,3,3,3,3,5,5,5
17110004,171100,32,3,3,4,4,3,3,2,3,3,3,6,6,6
17120001,171200,62,3,3,4,4,3,3,3,3,3,3,5,5,5
17120002,171200,58,3,3,2,3,2,3,3,3,1,1,5,5,5
17120003,171200,18,3,3,1,2,2,3,3,2,1,1,4,5,5
17130001,171300,62,3,4,3,2,2,3,3,3,3,3,6,5,5
17130002,171300,56,3,2,2,3,2,3,4,3,3,2,5,5,5
17130003,171300,30,3,4,3,2,2,3,3,3,3,3,5,5,5
17130004,171300,26,3,3,2,3,2,3,3,3,2,2,5,5,5
17140001,171400,69,3,3,2,3,1,3,3,3,2,2,6,5,5
17140002,171400,44,3,3,1,3,2,3,3,3,1,2,5,5,5
17220001,172200,61,3,3,1,3,2,3,3,3,2,1,4,5,5
17220002,172200,57,3,2,1,3,2,3,3,2,1,1,4,5,4
17220004,172200,25,3,3,2,3,1,3,3,3,1,1,5,6,5
17220005,172200,29,3,3,1,3,2,3,3,2,1,1,6,6,6
17220006,172200,86,2,2,2,2,2,2,2,1,2,2,4,4,4
17370001,173700,68,3,2,1,3,3,2,2,2,1,1,4,4,4
17370002,173700,71,2,2,1,2,2,2,2,2,1,1,5,5,5
17370003,173700,46,3,2,1,3,3,2,2,2,1,1,4,4,4
17390002,173900,87,2,2,1,2,2,2,3,3,1,1,3,3,2
17400001,174000,49,3,4,4,3,2,4,4,2,1,1,6,6,6
17400002,174000,49,4,4,2,4,2,4,4,1,1,1,6,6,6
17400003,174000,24,4,4,1,4,2,4,4,2,1,1,7,7,7
17400004,174000,13,3,3,2,4,1,3,3,1,2,1,6,6,7
17430001,174300,59,2,2,1,3,1,3,2,2,1,1,5,5,4
17430002,174300,58,4,4,3,4,1,4,4,3,1,1,5,4,3
17430003,174300,31,4,4,1,4,1,3,3,2,1,1,5,5,4
17440001,174400,58,2,2,2,2,3,2,1,2,2,2,2,2,3
17440002,174400,57,3,2,3,3,3,2,3,3,2,2,6,5,6
17440003,174400,28,3,3,2,3,3,3,2,3,1,3,5,5,4
17450001,174500,58,3,4,1,3,1,4,4,3,1,1,4,4,4
17450002,174500,54,3,3,1,4,1,3,4,3,2,1,6,5,5
17450003,174500,30,3,3,1,3,1,4,3,2,1,1,6,6,6
17450004,174500,28,4,4,3,4,1,2,3,3,1,1,5,6,6
17470001,174700,51,3,3,2,3,2,3,3,3,2,2,5,5,5
17470002,174700,24,3,3,2,3,2,3,3,3,2,2,4,4,4
17470003,174700,21,4,3,1,3,2,3,3,2,1,1,4,5,5
17470004,174700,20,3,3,2,3,2,3,3,3,1,1,5,5,5
17480001,174800,81,2,2,2,2,3,2,2,2,3,2,4,3,3
17490001,174900,67,3,3,3,3,2,3,3,3,2,2,5,5,5
