pid,hid,housenum,gender,age,school,income,home,internet,game,social,shop,comm,tv,movie-ott,study-book,info-search,other
10001,100,1,1,53,5,7,850.0000002,405,19.99999998,0,0,0,0,64.99999998,0,25.00000002,295
10002,100,2,2,48,5,1,1185,110,0,0,0,49.99999998,40.00000002,0,0,19.99999998,0
10003,100,3,2,24,5,5,960,290,45,15,0,10.00000002,0,60,19.99999998,10.00000002,130
10004,100,4,1,20,5,1,645,235,75,30,0,15,0,0,75,19.99999998,19.99999998
20001,200,1,1,55,5,6,780,245,64.99999998,15,0,30,0,90,0,45,0
20002,200,2,2,54,2,4,895.0000002,155,0,15,0,15,10.00000002,40.00000002,0,75,0
20003,200,3,1,27,6,6,949.9999998,275,40.00000002,0,0,10.00000002,0,49.99999998,10.00000002,10.00000002,155
30001,300,1,1,49,5,6,1000,230,0,0,0,10.00000002,0,0,34.99999998,135,49.99999998
30002,300,2,2,46,4,1,1340,120,19.99999998,4.99999998,0,0,0,45,0,0,49.99999998
30003,300,3,1,18,4,1,1195,190,0,0,0,4.99999998,0,64.99999998,115,0,4.99999998
30004,300,4,1,12,2,1,1250,200,70.00000002,0,0,25.00000002,0,64.99999998,0,40.00000002,0
40001,400,1,1,43,4,8,889.9999998,340,0,0,0,340,0,0,0,0,0
40002,400,2,2,44,5,1,1320,310,25.00000002,0,4.99999998,245,0,0,0,30,4.99999998
40003,400,3,1,14,3,1,979.9999998,270,105,0,0,0,0,45,120,0,0
40004,400,4,2,13,3,1,1150,400,240,0,0,60,0,0,0,19.99999998,79.99999998
50001,500,1,1,48,5,7,780,205,45,0,0,4.99999998,0,0,0,94.99999998,60
50002,500,2,2,43,5,1,1440,130,0,0,30,55.00000002,0,0,0,45,0
50003,500,3,2,14,3,1,1260,350,0,0,0,19.99999998,0,85.00000002,245,0,0
50004,500,4,2,13,3,1,994.9999998,175,0,0,0,34.99999998,0,49.99999998,79.99999998,0,10.00000002
60001,600,1,1,51,5,7,490,739.9999998,0,0,0,0,0,0,0,0,739.9999998
