pid,d20wt,d20wt2,d20wt_org,d20wt_org2,KMPS10,d20CB7,d20CB8,d20CB60,d20CB61,d20CB62,d20M_fre39
54610001,0.924245315,1.035360707,0.142108476, , ,0,0,0,0,0,0
54610001,0.924245315,1.035360707,0.142108476, , ,0,0,0,0,0,0
54610001,0.924245315,1.035360707,0.142108476, , ,0,0,0,0,0,0
54610002,0.674138894,0.740784399,0.106708717, , ,0,0,0,0,0,0
54610002,0.674138894,0.740784399,0.106708717, , ,0,0,0,0,0,0
54610002,0.674138894,0.740784399,0.106708717, , ,0,0,0,0,0,0
54610003,0.866480451,0.992370391,0.135742091, , ,0,0,0,0,0,0
54610003,0.866480451,0.992370391,0.135742091, , ,0,0,0,0,0,0
54610003,0.866480451,0.992370391,0.135742091, , ,0,0,0,0,0,0
54620001,0.837569176,0.821250683,0.751132005,1.64773475, ,0,0,0,0,0,0
54620001,0.837569176,0.821250683,0.751132005,1.64773475, ,0,0,0,0,0,0
54620001,0.837569176,0.821250683,0.751132005,1.64773475, ,0,0,0,0,0,0
54620002,0.610732705,0.59815434,0.528940537,0.831593248, ,0,0,0,10,10,0
54620002,0.610732705,0.59815434,0.528940537,0.831593248, ,0,0,0,0,0,0
54620002,0.610732705,0.59815434,0.528940537,0.831593248, ,0,0,0,0,0,0
54620003,1.277422749,1.673318883,1.410777586,2.666384065, ,0,0,0,0,0,0
54620003,1.277422749,1.673318883,1.410777586,2.666384065, ,18,18,0,0,0,0
54620003,1.277422749,1.673318883,1.410777586,2.666384065, ,18,18,0,0,0,0
54620004,0.673902311,0.629370094,0.543303272,1.844834921, ,0,0,0,0,0,0
54620004,0.673902311,0.629370094,0.543303272,1.844834921, ,0,0,0,0,0,0
54620004,0.673902311,0.629370094,0.543303272,1.844834921, ,0,0,0,8,0,0
54630001,0.623482798,0.81433369,0.482146642,1.328781607, ,0,0,0,0,8,0
54630001,0.623482798,0.81433369,0.482146642,1.328781607, ,0,0,0,0,0,0
