code,lat,lon
1456,37.394287,126.963883
1457,37.389793,126.950806
1450,37.451673,127.002303
1751,37.358101,126.933274
1752,37.328467,126.917332
1753,37.312212,126.903524
1754,37.302795,126.866489
1755,37.309689,126.85344
1756,37.315941,126.838573
1757,37.316777,126.823249
1758,37.320646,126.805913
1759,37.327082,126.788532
1760,37.338212,126.765844
1761,37.351735,126.742989
1762,37.362357,126.738714
1763,37.349801,126.925365
430,37.522272,126.974345
2535,37.571607,126.991806
2555,37.527788,127.136248
2556,37.516078,127.130848
2563,37.56313223,127.1929688
2511,37.577446,126.812741
2512,37.572399,126.806171
2513,37.562434,126.801058
2514,37.561184,126.811973
2515,37.560183,126.825448
2531,37.553736,126.95682
2533,37.565773,126.966641
2534,37.571026,126.976669
2532,37.559973,126.963672
2541,37.561533,127.037732
2516,37.558598,126.837668
2517,37.548768,126.836318
2518,37.541513,126.840461
2519,37.531768,126.846683
2520,37.524997,126.856191
2521,37.526065,126.864931
2522,37.524496,126.875181
2523,37.492832,127.491814
2524,37.52497,126.895951
2525,37.522669,126.905139
2526,37.517122,126.917169
2527,37.521624,126.924191
2528,37.527098,126.932901
2529,37.539574,126.945932
2530,37.544018,126.951592
2536,37.566941,126.998079
2539,37.554548,127.020331
2540,37.557322,127.029476
2542,37.5661,127.042973
2543,37.566747,127.052704
2544,37.56144,127.064623
2545,37.557121,127.079542
2546,37.551691,127.089761
2547,37.545303,127.10357
2548,37.538397,127.123572
2549,37.535804,127.132481
2550,37.537801,127.140004
2551,37.545477,127.142853
2552,37.55137,127.143999
2553,37.555004,127.154151
2554,37.556712,127.166417
2557,37.508857,127.126133
2558,37.502162,127.128111
2559,37.498079,127.13482
2560,37.493105,127.14415
2561,37.49499,127.152781
2537,37.565138,127.007896
2538,37.560245,127.013828
2622,37.556094,126.910052
2623,37.549463,126.913739
2624,37.547716,126.922852
2625,37.547456,126.931993
2626,37.547771,126.942069
2633,37.548013,127.007055
2634,37.55434,127.010655
2635,37.560245,127.013828
2636,37.565972,127.01782
2611,37.598605,126.915577
2612,37.606021,126.922744
2613,37.610469,126.929887
2614,37.618456,126.933031
2615,37.619001,126.921008
2616,37.611377,126.91727
2617,37.591148,126.913629
2618,37.583876,126.909645
2619,37.576646,126.900984
2620,37.569532,126.899298
2621,37.563515,126.903343
2627,37.544018,126.951592
2628,37.539261,126.961351
2629,37.534777,126.97311
2630,37.534675,126.986695
2631,37.534488,126.994302
2632,37.539631,127.001725
2637,37.572627,127.016429
2638,37.579661,127.015241
2639,37.585286,127.019381
2640,37.586272,127.029005
2641,37.590508,127.036296
2642,37.601948,127.041518
2643,37.606377,127.048491
2644,37.610537,127.056431
2645,37.614805,127.065851
2646,37.617983,127.07512
