pid,hid,housenum,p15wt,p15wt2,KMPS10,KMPS11,KMPS19,p10ans,p11ans,p12ans,p13ans,p14ans,p15ans,p16ans,p17ans,p18ans,p19ans,p20ans,p15rep,p15housenum,p15area,p15area_siz,p15hhldsiz,p15fly_typ,p15houstyp,p15rel,p15gender,p15byear,p15age,p15age1,p15school,p15school1,p15school2,p15school4,p15school6,p15school8,p15school9,p15school10,p15school12,p15school13,p15school14,p15school16,p15school17,p15mar,p15income1,p15income,p15job1,p15job2,p15job3,p15job4,p15relig1,p15relig2,p15relig3,p15a01001,p15a01002,p15a02001,p15a03001,p15a04001,p15a03002,p15a03003,p15a03004,p15a03005,p15a03006,p15a03007,p15a03008,p15a03009,p15a03010,p15a03016,p15a03017,p15a03018,p15a03019,p15a03020,p15a03021,p15a03022,p15a03023,p15c01001,p15c01002,p15c01003,p15c01004,p15c02001,p15c02002,p15c03001,p15c03002,p15c08001,p15c05011,p15c05012,p15c05013,p15c05014,p15c05001,p15c05002,p15c05003,p15c05004,p15c05005,p15c05006,p15c05007,p15c05008,p15c05009,p15c05010,p15c05015,p15c05016,p15c05017,p15c06006,p15c06007,p15c06008,p15c06012,p15c06009,p15c06013,p15c06010,p15c06011,p15c07001,p15c07002,p15c07003,p15c07004,p15c07005,p15c07006,p15c07007,p15c07008,p15d01001,p15d01002,p15d01003,p15d02001,p15d02002,p15d02003,p15d06002,p15d06003,p15d06011,p15d06004,p15d06005,p15d06006,p15d06012,p15d06013,p15d06007,p15d06008,p15d06009,p15d06010,p15d08001,p15d22001,p15d10001,p15d11001,p15d12001,p15d08002,p15d08004,p15d13001,p15d13010,p15d14001,p15d14002,p15d14003,p15d14004,p15d14005,p15d14006,p15d14007,p15d14008,p15d14009,p15d14010,p15d14011,p15d14012,p15d14013,p15d14014,p15d23001,p15d23002,p15d23007,p15d23003,p15d23004,p15d23005,p15d23006,p15h01001,p15h01002,p15h01003,p15h01004,p15h01005,p15h01006,p15h01007,p15h01008,p15h01009,p15h01010,p15h01011,p15h01012,p15h01013,p15h01014,p15h01015,p15h01016,p15h01017,p15h01018,p15h01019,p15h01020,p15h01021,p15h01022,p15h01023,p15h01024,p15h01025
4590002,45900,2,0.950067947,1.204138174, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,2,1,1,2,2,1,2,2,1948,7,67,2,1,5, , , , , , , , , , ,2,1,1,2, , ,2,1,1, ,1,1,1,0,0, , , , , , , , , , , , , , , , , ,15,2,0,1,4, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, , , , , , , , , ,6,2,60,11,1,1,40,9, , , ,6,1,13,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,3,1,3,3,2,1,1,1,3,2,3,2,2,1,2,2,2,1,1,2,2,2
4600001,46000,1,0.533116493,1.459053603, ,0, ,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,2,2,1,1,2,1941,8,74,4,3,5, , , , , , , , , , ,2,1,1,2, , ,2,2, , ,1,1,1,0,0, , , , , , , , , , , , , , , , , ,12,2,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, , , , , , , , , ,0,1, , ,0,1, , , , , ,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,2,3,2,2,1,1,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2
4600002,46000,2,0.585046803, , ,0, ,0,0,1,1,1,1,1,1,0,0,0,0,2,1,1,2,2,1,2,1,1937,8,78,4,3,5, , , , , , , , , , ,2,3,3,2, , ,4,2, , ,1,1,1,0,0, , , , , , , , , , , , , , , , , ,6,1,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, , , , , , , , , ,0,1, , ,0,1, , , , , ,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,3,2,2,1,1,1,2,2,3,2,2,2,1,2,2,2,2,2,2,2
4610001,46100,1,1.167370053,2.937324672, ,1, ,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,3,1,1,1,1971,5,44,5,4,5, , , , , , , , , , ,2,6,5,1,1,91, ,2, , ,1,1,0,1,0,1, ,1, ,2, ,1, ,18,2011, ,2, ,5, , , ,50,6,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,3,1,35,8,0,1, , ,11, , ,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,6,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,5,5,5,5,5,5,3,3,1,3,1,3,3,3,1,1,3,1,3,2,3,3,3,3,3,3,2,3,3,3,3
4610002,46100,2,0.993683801,1.763722366, ,1, ,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,3,3,1,2,2,1972,5,43,4,3,5, , , , , , , , , , ,2,5,4,1,1,44, ,2, , ,1,1,0,1,0,1, ,1, ,2, ,1, ,18,2011, ,4, ,5, , , ,40,5,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,3,1,40,9,3,1,100,11,11,3,17,1,2,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,3, ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,3,1,3,3,3,1,1,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3
4610004,46100,4,1.286146631, , ,1, ,0,0,0,0,1,1,1,1,1,1,1,0,4,1,1,3,3,1,3,2,2008,1,7,2,1,1,1, , , , , , , , , ,1,1,1,2, , ,1,2, , ,2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, , , , , , , , , ,0,1, , ,0,1, , , , , ,5,4, ,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , 
4620001,46200,1,3.429922772, , ,0, ,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,3,1,1,1981,4,34,5,4,5, , , , , , , , , , ,1,9,6,1,1,22, ,2, , ,1,1,0,1,0,2, ,2, ,2, ,1, ,7,2014, ,4, ,20, , , ,34,4,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,1,2,5,2, , ,20,5,3,1,50,11,0,1, , ,11,9,16,1,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,5,6,2,2,1,1,1,1,2,1,1,1,3,3,1,1,1,1,5,5,5,5,5,5,3,4,4,1,3,1,4,4,4,1,1,3,1,4,1,4,4,4,4,4,1,1,4,3,4,3
4630001,46300,1,2.038746624,4.179596285, ,1, ,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,3,1,1,2,1955,7,60,4,3,5, , , , , , , , , , ,3,4,4,1,3,42, ,1,2, ,1,1,0,1,0,2, ,1, ,2, ,1, ,7,2013, ,4, ,1, , , ,38,4,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,0,1, , ,1,1,10,3,11, , ,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3, ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,4,4,1,4,1,4,4,4,1,1,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3
4630002,46300,2,2.934996428, , ,1, ,0,0,1,1,1,1,1,1,1,1,1,0,2,1,1,2,3,1,3,1,1983,4,32,5,4,5, , , , , , , , , , ,1,8,6,1,1,22, ,1,2, ,1,1,1,0,0, , , , , , , , , , , , , , , , , ,30,4,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, , , , , , , , , ,2,1,30,7,0,1, , , , , ,13,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4, ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,3,1,4,1,3,3,3,1,1,3,2,3,2,4,4,4,4,4,3,1,3,4,3,3
4670001,46700,1,1.721669237,2.775608098, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,3,1,1,1,1977,4,38,5,4,5, , , , , , , , , , ,2,11,7,1,1,22, ,2, , ,1,1,0,1,0,3, ,1, ,2, ,2, ,24,2013, ,4, ,2, , , ,40,5,8,1,1, ,1,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,4,1,80,11,0,1, , ,10,3,1,1,10,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,6,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,4,4,3,4,3,3,1,3,1,3,3,2,1,1,2,1,3,1,3,3,3,3,3,1,1,3,3,3,3
4670002,46700,2,1.351972942,1.832550072, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,2,1,1,3,3,1,2,2,1979,4,36,5,4,5, , , , , , , , , , ,2,1,1,2, , ,2,1,2, ,1,1,0,1,0,2, ,1, ,2, ,2, ,24,2014, ,4, ,5, , , ,40,5,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,12,3,200,11,0,1, , ,10,19,3,6,13,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,2,3, ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,4,4,3,3,2,3,1,2,3,3,1,2,2,3,2,3,2,2,2,2,3,2,3,2,2,2,2
4670003,46700,3,1.259509492, , ,1, ,0,0,0,0,1,1,1,1,1,1,1,0,3,1,1,3,3,1,3,2,2007,1,8,2,1,1,2, , , , , , , , , ,1,1,1,2, , ,1,1,2, ,2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,5,2,0,1,0,1, , ,9999, , ,13,5, ,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , 
4690001,46900,1,1.828995969,6.06650545, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,3,2,1,2,1974,5,41,5,4,5, , , , , , , , , , ,2,6,5,1,1,31, ,1,2, ,1,1,0,1,0,1, ,1, ,2, ,1, ,7,2014, ,4, ,1, , , ,25,3,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,5,2,50,11,0,1, , ,11,18,9,6,8,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4, ,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,5,5,5,5,5,5,3,2,1,4,1,4,4,4,1,2,1,1,4,1,4,4,4,4,4,1,2,4,2,4,4
4690002,46900,2,2.148686652, , ,1, ,0,0,0,1,1,1,1,1,1,1,1,0,2,1,1,3,3,2,2,1,1969,5,46,5,4,5, , , , , , , , , , ,2,6,5,1,1,31, ,1,2, ,1,1,0,1,0,1, ,1, ,2, ,1, ,7,2013, ,2, ,1, , , ,40,5,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,5,2,50,11,0,1, , ,11,18,9,6,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4, ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,2,1,4,1,3,4,3,1,1,1,1,3,1,4,4,4,4,4,3,2,2,2,3,3
4690003,46900,3,2.708520195, , ,1, ,0,0,0,1,1,1,1,1,1,1,1,0,3,1,1,3,3,2,3,1,2007,1,8,2,1,1,9999, , , , , , , , , ,1,1,1,2, , ,1,1,2, ,2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,3,1,30,7,0,1, , ,9999, , ,5, , ,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , 
4710001,47100,1,1.126122414, , ,0, ,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,3,3,3,1,1,1955,7,60,4,3,5, , , , , , , , , , ,2,6,5,1,1,43, ,1,2, ,1,1,1,0,0, , , , , , , , , , , , , , , , , ,35,4,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, , , , , , , , , ,0,1, , ,0,1, , , , , ,10,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,1,3,2,3,3,3,1,1,2,2,3,2,3,3,3,3,3,2,2,2,2,3,3
4710002,47100,2,1.00331589, , ,0, ,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,3,3,3,2,2,1960,6,55,5,4,5, , , , , , , , , , ,2,1,1,2, , ,2,1,2, ,1,1,0,1,0,2, ,1, ,2, ,3, ,57,2014, ,4, ,10, , , ,90,10,27,3,1, ,2, ,2,0,1,20,5,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,0,1, , ,0,1, , ,17,10,9,1,11,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,1,4,1,4,4,3,1,1,3,1,3,1,4,4,4,4,4,3,1,3,3,3,3
4710003,47100,3,1.621865203, , ,0, ,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,3,3,3,3,1,1990,3,25,5,4,3, , , , , , , , , , ,1,5,4,1,1,31, ,1,2, ,1,1,0,1,0,2, ,2, ,2, ,3, ,63,2015, ,4, ,20, , , ,115,11,26,3,1, ,2, ,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,18,4,162,11,0,1, , ,10,16,17,13,6,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,1,4,1,4,4,1,1,1,3,1,3,1,3,2,3,3,3,2,1,3,3,3,2
4720001,47200,1,1.419352128,2.427931833, ,1, ,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,3,3,1,1,1959,6,56,6,5,5, , , , , , , , , , ,2,5,4,1,1,31, ,2, , ,1,1,0,1,0,1, ,1, ,2, ,2, ,44,2014, ,4, ,1, , , ,56,6,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,3,1,50,11,0,1, , ,9,8,11,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3, ,2,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,5,5,5,5,5,5,3,2,3,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2
4720002,47200,2,1.224130915,1.487370174, ,1, ,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,3,3,3,2,2,1960,6,55,5,4,5, , , , , , , , , , ,2,3,3,1,1,51, ,2, , ,1,1,0,1,0,2, ,1, ,2, ,2, ,44,2014, ,4, ,2, , , ,47,5,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,1,2,2,1, , ,5,2,5,2,70,11,1,1,50,11,11,16,9,6,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3, ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,4,3,3,3,2,2,2,2,2,2,1,1,2,2,3,2,3,3,3,3,2,2,2,2,2,2,2
4720003,47200,3,1.816693342,2.522170013, ,1, ,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,3,3,3,3,2,1986,3,29,5,4,5, , , , , , , , , , ,1,4,4,1,1,42, ,2, , ,1,1,0,1,0,2, ,2, ,2, ,1, ,9,2015, ,4, ,20, , , ,60,7,10,2,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,6,2,0,1,0,1, ,1,2,3,1, , ,5,2,7,2,100,11,1,1,30,7,10,16,18,13,6,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3, ,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,5,5,5,5,5,5,3,3,1,3,1,3,3,2,1,1,3,1,2,2,3,3,3,3,3,2,1,3,3,3,3
4720004,47200,4,1.816693342,2.45528523, ,1, ,1,1,1,1,1,1,1,1,1,1,1,0,4,1,1,3,3,3,3,2,1989,3,26,4,3,5, , , , , , , , , , ,1,4,4,1,1,42, ,2, , ,1,1,0,1,0,2, ,1, ,2, ,2, ,32,2015, ,4, ,7, , , ,60,7,10,2,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,5,2,0,1,0,1, ,2,2, , , , , , ,10,3,100,11,2,1,70,11,10,16,18,13,6,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3, ,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,5,5,5,5,5,5,3,3,1,3,1,3,3,2,1,1,2,1,2,2,3,3,3,3,3,2,2,3,3,3,3
4730004,47300,4,2.191463178,6.169584, ,1, ,1,1,1,1,1,1,1,1,1,1,1,0,4,1,1,3,4,2,3,2,1996,2,19,5,4,1, , , , , ,1,2,1, , ,1,1,1,2, , ,1,1,3, ,1,1,0,1,0,3, ,1, ,2, ,1, ,1,2015, ,4, ,11, , , ,38,4,4,1,5, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,1, , ,5,2,0,1,12,3,180,11,0,1, , ,11,9,16,13,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3, ,1,2,1,1,2,2,1,1,2,2,3,2,2,3,3,3,5,5,5,5,5,5,5,3,4,1,3,1,3,4,3,1,1,3,3,3,2,3,3,3,3,3,1,1,3,3,3,3
4730005,47300,5,2.221542509, , ,1, ,0,0,0,1,1,1,1,1,1,1,1,0,5,1,1,3,4,2,7,2,1933,8,82,2,1,5, , , , , , , , , , ,3,1,1,2, , ,2,1,3, ,2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, , , , , , , , , ,0,1, , ,0,1, , , , , ,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,3,1,3,2,2,1,1,1,3,3,1,1,1,1
4750001,47500,1,2.783471627,6.169584, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,3,3,2,1,1,1960,6,55,5,4,5, , , , , , , , , , ,2,7,5,1,1,31, ,1,2, ,1,1,0,1,0,2, ,1, ,2, ,2, ,24,2015, ,4, ,8, , , ,70,8,15,2,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,1,2,3,1, , ,5,2,5,2,150,11,1,1,50,11,11,9,16,1,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,4,1,2,3,1,2,2,1,1,1,1,2,1,1,1,1,1,4,4,4,4,4,4,5,4,3,2,3,2,3,3,3,1,1,1,3,2,2,2,2,3,3,2,3,3,2,2,1,1
4750002,47500,2,2.400626035, , ,1, ,0,0,0,1,1,1,1,1,1,1,1,0,2,1,1,3,3,2,2,2,1962,6,53,5,4,5, , , , , , , , , , ,2,6,5,1,1,31, ,1,2, ,1,1,0,1,0,2, ,1, ,2, ,2, ,24,2015, ,4, ,8, , , ,80,9,15,2,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,5,2,0,1,0,1, ,2,2, , , , , , ,7,2,80,11,1,1,50,11,11,9,16,1,15,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1, ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,1,4,1,4,4,3,1,1,3,1,3,1,3,3,4,4,3,1,1,3,3,3,2
4760001,47600,1,1.623711493, , ,1, ,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,3,3,2,1,1,1946,7,69,3,2,5, , , , , , , , , , ,2,1,1,2, , ,4,1,2, ,2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, , , , , , , , , ,0,1, , ,0,1, , , , , ,10,1,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,2,2,2,1,1,1,2,2,3,3,1,2,1,2,2,2,2,1,1,1
4760002,47600,2,1.533932927,3.914573582, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,2,1,1,3,3,2,2,2,1952,7,63,3,2,5, , , , , , , , , , ,2,3,3,1,3,44, ,1,2, ,1,1,0,1,0,2, ,1, ,2, ,1, ,7,2014, ,4, ,1, , , ,20,3,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,4,1,20,5,1,1,35,8,11,6, ,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,3,4,4,3,3,3,1,2,1,3,3,2,1,1,2,2,3,1,3,3,3,3,3,2,3,3,3,3,3
4760003,47600,3,2.208262473, , ,1, ,0,0,0,1,1,1,1,1,1,1,1,0,3,1,1,3,3,2,3,1,1976,4,39,5,4,5, , , , , , , , , , ,1,6,5,1,3,87, ,2, , ,1,1,0,1,0,2, ,1, ,2, ,1, ,12,2014, ,4, ,1, , , ,90,10,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,0,1, , ,0,1, , ,11,8,6,8,9,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2
4770003,47700,3,3.114916769,6.169584, ,1, ,0,1,1,1,1,1,1,1,1,1,0,0,3,1,1,3,3,2,3,2,1996,2,19,4,3,5, , , , , , , , , , ,1,4,4,1,1,31, ,2, , ,1,1,0,1,0,2, ,1, ,2, ,1, ,7,2012, ,4, ,3, , , ,45,5,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,8,2,110,11,2,1,55,11,16,17,19,13,15,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3, ,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,3,3,3,1,3,1,4,3,2,1,3,2,3,3,1,3,3,3,3,3,3,2,3,3,3,2
4780002,47800,2,1.24119102,1.958792088, ,1, ,1,1,1,1,1,1,1,1,1,1,0,0,2,5,1,1,1,2,1,1,1949,7,66,4,3,5, , , , , , , , , , ,3,5,4,1,1,88, ,2, , ,1,1,1,0,0, , , , , , , , , , , , , , , , , ,25,3,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, , , , , , , , , ,0,1, , ,0,1, , , , , ,1,6,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,3,4,3,4,4,4,3,3,3,3,4,4,4,4,3,4,3,3,3,4,3,4,4,4,3,3,4
4790002,47900,2,1.59517869, , ,0, ,0,1,0,0,0,1,1,0,0,0,0,0,2,8,1,3,3,1,2,2,1963,6,52,4,3,5, , , , , , , , , , ,2,1,1,2, , ,2,2, , ,1,1,0,1,0,3, ,1, ,2, ,3, ,49,2015, ,4, ,12, , , ,34,4,15,2,4, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,1, , ,5,2,0,1,2,1,20,5,0,1, , ,9,19,5,6,15,12,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,2,5, ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,2,3,2,2,2,3,2,2,2,3,3,2,3,3,3,2,2,2,2,2,3,3,2,3,2,2,2
4800002,48000,2,1.112071731, , ,0, ,0,1,1,0,0,1,1,1,1,0,0,0,2,8,1,3,5,3,6,2,1951,7,64,2,1,5, , , , , , , , , , ,3,1,1,2, , ,2,2, , ,1,1,1,0,0, , , , , , , , , , , , , , , , , ,10,2,0,1,4, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,0,1, , ,0,1, , ,9999, , ,6,15,14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,8,8,8,2,2,2,3,3,3,2,2,2,2,3,3,3,2,2,2,3,2,3,2,2,3,2,3,2
4820001,48200,1,0.240704348, , ,1, ,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,5,3,1,1,1950,7,65,4,3,5, , , , , , , , , , ,3,7,5,1,1,81, ,2, , ,1,1,0,1,0,2, ,1, ,2, ,1, ,8,2014, ,4, ,3, , , ,50,6,8,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,0,1, , ,0,1, , ,9,19,4,1,6,13,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,2,3,2,1,1,2,3,3,2,2,3,2,2,2,1,1,2,3,3,2,2,2,1,1,2,3,2
4820002,48200,2,0.327360114, , ,1, ,0,1,0,1,1,1,1,1,1,1,1,0,2,1,1,2,5,3,3,1,1980,4,35,5,4,5, , , , , , , , , , ,1,8,6,1,1,31, ,2, , ,1,1,0,1,0,2, ,1, ,2, ,2, ,26,2014, ,4, ,18, , , ,85,9,12,2,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,5,2,50,11,0,1, , ,11,10,19,10,9,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,2,4,2,2,2,2,4,3,2,2,1,2,2,3,2,2,2,3,3,3,3,2,3,3,2,2,1,1,2,3,2,2,1,1,1,1,2,2,2,2,1,1,1,2,1,2
