pid,hid,housenum,p15wt,p15wt2,KMPS10,KMPS11,KMPS19,p10ans,p11ans,p12ans,p13ans,p14ans,p15ans,p16ans,p17ans,p18ans,p19ans,p20ans,p15rep,p15housenum,p15area,p15area_siz,p15hhldsiz,p15fly_typ,p15houstyp,p15rel,p15gender,p15byear,p15age,p15age1,p15school,p15school1,p15school2,p15school4,p15school6,p15school8,p15school9,p15school10,p15school12,p15school13,p15school14,p15school16,p15school17,p15mar,p15income1,p15income,p15job1,p15job2,p15job3,p15job4,p15relig1,p15relig2,p15relig3,p15a01001,p15a01002,p15a02001,p15a03001,p15a04001,p15a03002,p15a03003,p15a03004,p15a03005,p15a03006,p15a03007,p15a03008,p15a03009,p15a03010,p15a03016,p15a03017,p15a03018,p15a03019,p15a03020,p15a03021,p15a03022,p15a03023,p15c01001,p15c01002,p15c01003,p15c01004,p15c02001,p15c02002,p15c03001,p15c03002,p15c08001,p15c05011,p15c05012,p15c05013,p15c05014,p15c05001,p15c05002,p15c05003,p15c05004,p15c05005,p15c05006,p15c05007,p15c05008,p15c05009,p15c05010,p15c05015,p15c05016,p15c05017,p15c06006,p15c06007,p15c06008,p15c06012,p15c06009,p15c06013,p15c06010,p15c06011,p15c07001,p15c07002,p15c07003,p15c07004,p15c07005,p15c07006,p15c07007,p15c07008,p15d01001,p15d01002,p15d01003,p15d02001,p15d02002,p15d02003,p15d06002,p15d06003,p15d06011,p15d06004,p15d06005,p15d06006,p15d06012,p15d06013,p15d06007,p15d06008,p15d06009,p15d06010,p15d08001,p15d22001,p15d10001,p15d11001,p15d12001,p15d08002,p15d08004,p15d13001,p15d13010,p15d14001,p15d14002,p15d14003,p15d14004,p15d14005,p15d14006,p15d14007,p15d14008,p15d14009,p15d14010,p15d14011,p15d14012,p15d14013,p15d14014,p15d23001,p15d23002,p15d23007,p15d23003,p15d23004,p15d23005,p15d23006,p15h01001,p15h01002,p15h01003,p15h01004,p15h01005,p15h01006,p15h01007,p15h01008,p15h01009,p15h01010,p15h01011,p15h01012,p15h01013,p15h01014,p15h01015,p15h01016,p15h01017,p15h01018,p15h01019,p15h01020,p15h01021,p15h01022,p15h01023,p15h01024,p15h01025
40004,400,4,1.507224754, , ,1, ,0,0,0,1,1,1,1,1,1,1,1,0,4,8,1,3,3,2,3,2,2007,1,8,2,1,1,2, , , , , , , , , ,1,1,1,2, , ,1,1,2, ,2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,4,1,24,5,0,1, , ,9999, , ,5,4,13,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , 
50001,500,1,0.954784103, , ,1, ,0,1,0,1,1,1,1,1,1,1,1,0,1,8,1,3,3,2,1,1,1972,5,43,5,4,5, , , , , , , , , , ,2,11,7,1,1,31, ,1,1, ,1,1,0,1,0,3, ,1, ,1, ,2, ,25,2015, ,4, ,7, , , ,50,6,0,1,1, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,0,1, , ,1,1,20,5,3,12,9,12,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,3,1,3,1,4,3,2,2,1,4,1,4,2,4,4,4,4,4,1,1,4,4,4,4
50002,500,2,1.143468757,2.122440711, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,2,8,1,3,3,2,2,2,1977,4,38,5,4,5, , , , , , , , , , ,2,1,1,2, , ,2,2, , ,1,1,0,1,0,3, ,1, ,2, ,1, ,18,2015, ,4, ,8, , , ,32,4,0,1,4, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,0,1, , ,1,1,20,5,6,9,3,6,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,4,5,4,4,1,4,1,4,4,3,1,1,2,3,2,3,2,2,4,2,3,1,2,2,2,2,2
50003,500,3,1.065265219, , ,1, ,0,0,1,1,1,1,1,1,1,1,1,0,3,8,1,3,3,2,3,2,2006,1,9,2,1,1,3, , , , , , , , , ,1,1,1,2, , ,1,2, , ,1,1,0,0,1, , , , , , , , , , , , , , , , , ,6,1,0,1,4, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,0,1, , ,1,1,20,5,9999, , ,5,13,6,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , 
50004,500,4,1.065265219, , ,1, ,0,0,0,1,1,1,1,1,1,1,1,0,4,8,1,3,3,2,3,2,2007,1,8,2,1,1,2, , , , , , , , , ,1,1,1,2, , ,1,2, , ,2,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,0,1, , ,1,1,20,5,9999, , ,5,6, ,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,3,3,3,4, , , , , , , , , , , , , , , , , , , , , , , , , 
60001,600,1,1.224050684, , ,1, ,0,1,0,1,1,1,1,1,1,1,1,0,1,8,1,3,3,2,1,1,1969,5,46,5,4,5, , , , , , , , , , ,2,8,6,1,1,14, ,2, , ,1,1,0,1,0,2, ,1, ,2, ,1, ,1,2013, ,2, ,1, , , ,46,5,0,1,1, ,1,2,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,1,1,1,1,1,1,30,7,6,2,54,11,0,1, , ,19,1,3,8,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,5,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,3,3,4,4,3,3,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2
60002,600,2,1.055139047,2.872563688, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,2,8,1,3,3,2,2,2,1973,5,42,4,3,5, , , , , , , , , , ,2,4,4,1,1,93, ,2, , ,1,1,0,1,0,2, ,1, ,2, ,1, ,1,2013, ,4, ,13, , , ,35,4,13,2,1, ,1,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,6,2,54,11,0,1, , ,11,3,18,6,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,5,4,3,3,4,4,3,1,1,4,4,4,4,1,1,1,1,2,3,4,2,3,1,1,2,1,1,1,1,1
60003,600,3,1.12137185, , ,1, ,0,0,0,1,1,1,1,1,1,1,1,0,3,8,1,3,3,2,3,2,2001,2,14,3,2,1, ,2, , , , , , , , ,1,1,1,2, , ,1,2, , ,1,1,0,1,0,2, ,1, ,2, ,1, ,18,2013, ,2, ,13, , , ,19,2,13,2,4, ,1,2,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,4,1,32,7,0,1, , ,3,1,19,5,9,13,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,6, ,1,2,5,3,1,1,1,1,2,2,2,1,1,6,2,6,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
60004,600,4,1.365689497, , ,1, ,0,0,1,1,1,1,1,1,1,1,1,0,4,8,1,3,3,2,3,2,2006,1,9,2,1,1,3, , , , , , , , , ,1,1,1,2, , ,1,2, , ,1,1,0,1,0,2, ,1, ,2, ,1, ,18,2013, ,4, ,13, , , ,19,2,13,2,4, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, ,2,2, , , , , , ,4,1,32,7,0,1, , ,1,3,19,5,9,13,1,1,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , 
80001,800,1,1.597215366,3.363409593, ,1, ,0,1,1,1,1,1,1,1,1,1,1,0,1,8,1,2,2,2,1,1,1950,7,65,4,3,5, , , , , , , , , , ,2,1,1,2, , ,4,2, , ,1,1,1,0,0, , , , , , , , , , , , , , , , , ,19,2,0,1,4, ,2, ,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1, , , , , , , , , ,0,1, , ,0,1, , , , , ,1,3,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , ,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,3,3,2,1,2,3,1,2,2,2,1,2,1,1,1,2,1,3,1,1
