pid,hid,housenum,p20ans,p21ans,p20area,p20area_siz,p20hhldsiz,p20gender,p20age1,p20school,p20mar,p20income1,p20job1,p20job2,p20relig1,ott_yes,ott_freq,ott_score,sns_yes,sns_freq_1,sns_freq_2,sns_freq_3,sns_freq_4,sns_score_1,sns_score_1,sns_score_1,sns_score_1,sns_score_all,p20d25040,p20d25041,p20d25042,p20d25043,p20d25044,p20d25045,p20d25046,p20d25047,p20d25048,p20d25049,p20d25050,p20d25051,p20d25052,p20d25053,p20d25054,p20d25055,p20d25056,p20d25057,p20d25058,p20d25059,p20d25060,pc_ability,p20d25061,p20d25062,p20d25063,p20d25064,p20d25065,p20d25066,p20d25067,p20d25068,p20d25070,p20d25071,p20d25072,p20d25073,p20d25074,p20d25075,p20d25076,p20d25077,p20d25078,p20d25079,p20d25080,p20d25081,p20d25082,p20d25083,p20d25084,p20d25085,p20d25086,smart_ability,p20h01001,p20h01002,p20h01003,p20h01004,p20h01005,p20h01006,p20h01007,p20h01008,p20h01009,p20h01010,esteem
40004,400,4,1,1,8,1,3,2,13,3,1,1,2, ,1,1,1,9,1,6,8,8,8,4,2,2,2,2.5,4,5,5,5,2,5,5,5,1,1,4,3,4,4,1,5,3,5,4,3,1,3.571428571,5,5,5,5,5,5,5,1,5,5,1,1,1,1,4,4,3,4,5,4,5,5,1,4,4,3.72,3,3,1,3,4,4,4,2,1,1,33
50001,500,1,1,1,8,1,3,1,48,5,2,11,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.904761905,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,3,1,4,3,2,1,1,37
50002,500,2,1,1,8,1,3,2,43,5,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,5,4,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,4,4.666666667,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,4,4,3,3,4.6,3,3,1,3,1,3,3,2,1,1,34
50003,500,3,1,1,8,1,3,2,14,3,1,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,4,5,5,5,5,5,5,4,1,3,4,3,5,5,5,5,5,5,5,5,4,4.428571429,5,5,5,5,5,5,5,5,5,5,1,3,4,3,5,5,5,5,5,5,5,5,2,5,3,4.44,3,3,1,2,2,3,3,2,1,1,32
50004,500,4,1,1,8,1,3,2,13,3,1,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,1,4.428571429,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,4.52,4,4,1,4,1,4,4,4,1,1,37
60001,600,1,1,1,8,1,3,1,51,5,2,10,1,1,2,1,1,9,1,1,9,9,4,9,1,1,6,4.25,5,5,5,5,5,5,5,4,5,5,4,3,5,5,5,5,5,4,4,4,4,4.619047619,5,5,5,5,5,5,5,5,5,4,5,5,4,3,5,5,5,5,5,5,5,5,4,4,3,4.68,3,3,1,2,2,3,2,2,1,1,31
60002,600,2,1,1,8,1,3,2,47,4,2,5,1,1,2,1,6,4,2, , , , ,0,0,0,0,0,3,3,2,3,4,4,2,2,4,1,1,1,4,3,3,2,3,3,2,1,1,2.476190476,5,5,5,5,5,5,2,4,5,1,5,1,1,1,5,3,3,1,4,4,4,3,1,1,1,3.2,3,3,1,3,1,3,3,1,1,1,35
60003,600,3,1,1,8,1,3,2,19,5,1,1,2, ,2,1,1,9,1,1,1,1,7,9,9,9,3,7.5,5,5,5,5,5,5,5,5,3,5,3,3,5,5,5,5,5,5,5,5,5,4.714285714,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,3,5,5,4.76,1,1,3,2,3,3,3,4,3,2,20
60004,600,4,1,1,8,1,3,2,14,3,1,1,2, ,2,1,2,8,1,1,9,3,1,9,1,7,9,6.5,2,5,2,2,5,5,5,4,1,2,2,2,5,5,5,5,5,4,5,1,1,3.476190476,5,5,5,5,5,5,2,5,5,5,1,1,2,2,3,1,1,1,5,5,5,4,1,2,2,3.32,4,4,1,3,1,4,4,2,2,2,36
80001,800,1,1,1,8,1,1,1,70,4,3,2,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.12,3,3,1,3,1,3,3,2,1,1,34
90001,900,1,1,0,8,1,3,1,57,5,2,6,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,3,3,2,3,5,1,3,4,2,3,3,1,3,3,3,3,3,4,4,4,4,3.047619048,1,1,2,3,2,2,2,1,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,4,2.24,4,3,1,2,2,3,3,1,1,2,33
100001,1000,1,1,1,8,1,3,1,41,5,2,8,1,1,1,1,1,9,1,2,8,9,9,8,2,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,3,3,3,3,3,2,2,28
100002,1000,2,1,1,8,1,3,2,41,6,2,8,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,3,5,5,5,3,2,5,5,5,5,5,5,5,5,5,4.666666667,5,5,5,5,5,5,5,5,5,2,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,4.64,3,4,1,4,2,4,4,4,1,1,35
100003,1000,3,1,1,8,1,3,1,10,2,1,1,2, ,1,1,2,8,2, , , , ,0,0,0,0,0,1,1,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.333333333,5,5,5,5,5,2,2,2,2,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,2.2, , , , , , , , , , ,#VALUE!
130001,1300,1,1,1,1,1,2,1,73,3,2,1,2, ,2,1,2,8,2, , , , ,0,0,0,0,0,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.238095238,3,3,3,3,2,2,2,3,3,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1.88,2,3,2,2,3,3,3,3,1,1,28
130002,1300,2,1,1,1,1,2,2,70,3,2,3,2, ,2,1,1,9,2, , , , ,0,0,0,0,0,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.238095238,4,4,4,4,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2.32,3,2,3,3,2,3,3,3,2,1,28
