id,lat,lon
164,37.53907760 ,126.95805440 
165,37.51902430 ,126.97331310 
166,37.51902430 ,126.97331310 
167,37.58250720 ,127.02454890 
168,37.58250720 ,127.02454890 
169,37.58250720 ,127.02454890 
170,37.59542830 ,126.98935080 
171,37.58250720 ,127.02454890 
172,37.59542830 ,126.98935080 
173,37.58250720 ,127.02454890 
174,37.57283680 ,126.92817820 
175,37.58810900 ,127.03961670 
176,37.52074240 ,126.93703050 
177,37.52074240 ,126.93703050 
178,37.52074240 ,126.93703050 
179,37.57260040 ,126.96293530 
180,37.52335470 ,126.95879350 
181,37.52335470 ,126.95879350 
182,37.53907760 ,126.95805440 
183,37.51902430 ,126.97331310 
184,37.51902430 ,126.97331310 
185,37.52190300 ,126.96319060 
186,37.59542830 ,126.98935080 
187,37.53385350 ,126.95746290 
188,37.52335470 ,126.95879350 
189,37.52074240 ,126.93703050 
190,37.52074240 ,126.93703050 
191,37.52074240 ,126.93703050 
192,37.52074240 ,126.93703050 
193,37.52074240 ,126.93703050 
194,37.48815350 ,126.88570020 
195,37.48704390 ,126.93738040 
196,37.48704390 ,126.93738040 
197,37.48704390 ,126.93738040 
198,37.57260040 ,126.96293530 
199,37.53907760 ,126.95805440 
200,37.51902430 ,126.97331310 
201,37.52335470 ,126.95879350 
202,37.51902430 ,126.97331310 
203,37.51902430 ,126.97331310 
204,37.58250720 ,127.02454890 
205,37.58748690 ,126.94268760 
206,37.51902430 ,126.97331310 
207,37.52074240 ,126.93703050 
208,37.52074240 ,126.93703050 
209,37.52074240 ,126.93703050 
210,37.52074240 ,126.93703050 
211,37.52074240 ,126.93703050 
212,37.48704390 ,126.93738040 
213,37.48704390 ,126.93738040 
214,37.48704390 ,126.93738040 
215,37.58250720 ,127.02454890 
216,37.58250720 ,127.02454890 
217,37.58250720 ,127.02454890 
218,37.52074240 ,126.93703050 
219,37.52074240 ,126.93703050 
220,37.52074240 ,126.93703050 
221,37.52074240 ,126.93703050 
222,37.57260040 ,126.96293530 
223,37.52190300 ,126.96319060 
224,37.58250720 ,127.02454890 
225,37.58250720 ,127.02454890 
226,37.58250720 ,127.02454890 
227,37.53066280 ,126.92320540 
228,37.52074240 ,126.93703050 
229,37.52074240 ,126.93703050 
230,37.52074240 ,126.93703050 
231,37.52074240 ,126.93703050 
232,37.52074240 ,126.93703050 
233,37.52074240 ,126.93703050 
234,37.56728770 ,126.99553020 
235,37.52074240 ,126.93703050 
236,37.52074240 ,126.93703050 
237,37.52074240 ,126.93703050 
238,37.52074240 ,126.93703050 
239,37.52074240 ,126.93703050 
240,37.52074240 ,126.93703050 
241,37.53066280 ,126.92320540 
242,37.52074240 ,126.93703050 
243,37.52074240 ,126.93703050 
244,37.52074240 ,126.93703050 
245,37.52074240 ,126.93703050 
246,37.52074240 ,126.93703050 
247,37.52074240 ,126.93703050 
248,37.52074240 ,126.93703050 
249,37.52074240 ,126.93703050 
250,37.52074240 ,126.93703050 
251,37.52074240 ,126.93703050 
252,37.52074240 ,126.93703050 
253,37.52074240 ,126.93703050 
254,37.52074240 ,126.93703050 
255,37.52074240 ,126.93703050 
256,37.53066280 ,126.92320540 
257,37.52074240 ,126.93703050 
258,37.52074240 ,126.93703050 
259,37.52074240 ,126.93703050 
260,37.52074240 ,126.93703050 
261,37.59514770 ,126.98951090 
262,37.58724010 ,126.94400910 
263,37.58724010 ,126.94400910 
264,37.58724010 ,126.94400910 
265,37.57296580 ,126.92967980 
266,37.52335470 ,126.95879350 
267,37.55322780 ,126.95585200 
268,37.52190300 ,126.96319060 
269,37.57296580 ,126.92967980 
270,37.58724010 ,126.94400910 
271,37.58724010 ,126.94400910 
272,37.57296580 ,126.92967980 
273,37.58724010 ,126.94400910 
274,37.57296580 ,126.92967980 
275,37.48694990 ,126.88781450 
