id,dist
0,0.360111327
1,0.360111327
2,0.360111327
3,0.360111327
4,0.458409588
5,0.998911766
6,0.998911766
7,0.998911766
8,0.415574434
9,0.415574434
10,0.415574434
11,0.415574434
12,0.998911766
13,0.415574434
14,0.415574434
15,0.830929168
16,0.830929168
17,0.830929168
18,0.830929168
19,0.830929168
20,0.830929168
21,0.830929168
22,0.830929168
23,0.830929168
24,0.830929168
25,0.830929168
26,0.830929168
27,0.830929168
28,0.830929168
29,0.830929168
30,0.830929168
31,0.830929168
32,0.830929168
33,0.830929168
34,0.332294558
35,0.332294558
36,0.332294558
37,0.332294558
38,0.332294558
39,0.332294558
40,0.35294722
41,0.741408603
42,0.741408603
43,0.505921165
44,0.505921165
45,0.505921165
46,0.505921165
47,0.741408603
48,0.741408603
49,0.505921165
50,0.505921165
51,0.505921165
52,0.741408603
53,0.741408603
54,0.741408603
55,0.377349943
56,0.377349943
57,0.458980435
58,0.458980435
59,0.458980435
60,0.458980435
61,0.458980435
62,0.458980435
63,0.458980435
64,0.458980435
65,0.458980435
66,0.458980435
67,0.458980435
68,0.458980435
69,0.458980435
70,0.458980435
71,0.458980435
72,0.02203172
73,0.401942143
74,0.401942143
75,0.401942143
76,0.401942143
77,0.401942143
78,0.401942143
79,0.401942143
80,0.401942143
81,0.401942143
82,0.401942143
83,0.401942143
84,0.401942143
85,0.401942143
86,0.741408603
87,0.741408603
88,0.741408603
89,0.741408603
90,0.741408603
91,0.741408603
92,0.741408603
93,0.741408603
94,0.741408603
95,0.741408603
96,0.741408603
97,0.741408603
98,0.741408603
99,0.741408603
100,0.741408603
101,0.741408603
102,0.741408603
103,0.741408603
104,0.741408603
105,0.741408603
106,0.741408603
107,0.998911766
108,0.741408603
109,0.741408603
110,0.741408603
111,0.741408603
112,0.741408603
113,0.741408603
114,0.741408603
115,0.741408603
116,0.741408603
117,0.741408603
118,0.254048461
119,0.254048461
120,0.254048461
121,0.254048461
122,0.254048461
123,0.254048461
124,0.254048461
125,0.332294558
126,0.458980435
127,0.458980435
128,0.179041383
129,0.205428
130,0.179041383
131,0.179041383
132,0.179041383
133,0.179041383
134,0.219717821
135,0.219717821
136,0.227368474
137,0.741408603
138,0.741408603
139,0.271949738
140,0.271949738
141,0.271949738
142,0.271949738
143,0.237380164
144,0.205428
145,0.237380164
146,0.237380164
147,0.332294558
148,0.332294558
149,0.237380164
150,0.332294558
151,0.237380164
152,0.094383787
153,0.094383787
154,0.166466044
155,0.179041383
156,0.458409588
157,0.179041383
158,0.179041383
159,0.179041383
160,0.179041383
161,0.565675552
162,0.565675552
163,0.179041383
164,0.179041383
165,0.179041383
166,0.179041383
167,0.179041383
168,0.348335975
169,0.348335975
